"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","","","","","13:35","20:20","405","147.0","False","BOD","AMS","","","BCN","185.0","Vueling","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","220.0","","","","long","high","7200036455438213135"
"","","","","","","11:30","19:35","485","215.0","False","BOD","AMS","","","BCN","185.0","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","300.0","","","","long","high","7161197383771755191"
"","","","","","","12:40","20:35","475","218.0","False","BOD","AMS","","","","","easyJet","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","7912516758987245287"
"","","","","","","15:55","21:40","345","249.0","False","BOD","AMS","","","BCN","185.0","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","160.0","","","","moyen","high","62541865806423315"
"","","","","","","15:55","19:35","220","251.0","False","BOD","AMS","","","","","Air France","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","7499639104010915285"
"","","","","","","19:00","23:40","280","297.0","False","BOD","AMS","","","","","easyJet","Transavia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","1840408296070172989"
"","","","","","","06:00","11:40","340","363.0","False","BOD","AMS","","","BCN","95.0","Vueling","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","245.0","","","","moyen","high","3452042340852125200"
"","","","","","","06:00","13:00","420","363.0","False","BOD","AMS","","","BCN","95.0","Vueling","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","325.0","","","","long","high","268524188188704115"
"","","","","","","13:35","18:55","320","379.0","False","BOD","AMS","","","BCN","95.0","Vueling","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","225.0","","","","moyen","high","7160850091697101863"
"","","","","","","13:35","20:25","410","379.0","False","BOD","AMS","","","BCN","95.0","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","315.0","","","","long","high","9106110215633507051"
"","","","","","","13:50","19:15","325","420.0","False","BOD","AMS","","","","","easyJet","KLM","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","2523151663149415872"
"","","","","","","13:50","20:50","420","420.0","False","BOD","AMS","","","BCN","95.0","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","325.0","","","","long","high","3735262270830854527"
"","","","","","","07:00","14:55","475","439.0","False","BOD","AMS","","","","","easyJet","Transavia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","4027683381275348117"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","15:55","21:40","345","240.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 15:55:00","2024-11-20 21:40:00","155.0","0.0","Wednesday","afternoon","moyen","high","4699823902467937485"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","18:20","285","439.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 13:35:00","2024-11-20 18:20:00","95.0","0.0","Wednesday","afternoon","moyen","high","5716426142503410222"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","21:40","485","440.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 13:35:00","2024-11-20 21:40:00","295.0","0.0","Wednesday","afternoon","long","high","871915682824456362"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","19:35","360","604.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 13:35:00","2024-11-20 19:35:00","170.0","0.0","Wednesday","afternoon","moyen","high","311403429814263379"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:25","22:15","230","654.0","False","BOD","AMS","N/A","N/A","N/A","","Lufthansa","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 18:25:00","2024-11-20 22:15:00","","0.0","Wednesday","evening","moyen","high","7776837943266772668"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","722.0","True","BOD","AMS","N/A","N/A","N/A","","KLM","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","8916187947522911184"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","14:50","19:50","300","1092.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:01:44","2024-11-20 14:50:00","2024-11-20 19:50:00","","0.0","Wednesday","afternoon","moyen","high","4169786422191665992"
"","","N/A","N/A","N/A","N/A","13:35","20:20","405","147.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","220.0","","","","long","high","543594873096039688"
"","","N/A","N/A","N/A","N/A","11:30","19:35","485","215.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","","300.0","","","","long","high","4753882500457169890"
"","","N/A","N/A","N/A","N/A","12:40","20:35","475","218.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","","long","high","8102358781529759899"
"","","N/A","N/A","N/A","N/A","15:55","21:40","345","249.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","","160.0","","","","moyen","high","8378198920936365140"
"","","N/A","N/A","N/A","N/A","15:55","19:35","220","251.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","","","","","","","","moyen","high","3901437737901113713"
"","","N/A","N/A","N/A","N/A","19:00","23:40","280","297.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","Transavia","N/A","44.837789, -0.57918","","","","","","","","","","moyen","high","4872542400707229041"
"","","N/A","N/A","N/A","N/A","06:00","11:40","340","363.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","245.0","","","","moyen","high","3192309014381963804"
"","","N/A","N/A","N/A","N/A","06:00","13:00","420","363.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","325.0","","","","long","high","1924771089744893838"
"","","N/A","N/A","N/A","N/A","13:35","18:55","320","379.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","225.0","","","","moyen","high","2047660424576048885"
"","","N/A","N/A","N/A","N/A","13:35","20:25","410","379.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","","315.0","","","","long","high","1342076476526178830"
"","","N/A","N/A","N/A","N/A","13:50","19:15","325","420.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","KLM","N/A","44.837789, -0.57918","","","","","","","","","","moyen","high","3264657751602560273"
"","","N/A","N/A","N/A","N/A","13:50","20:50","420","420.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","","325.0","","","","long","high","5158722663702425331"
"","","N/A","N/A","N/A","N/A","07:00","14:55","475","439.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","Transavia","N/A","44.837789, -0.57918","","","","","","","","","","long","high","7266218755019615326"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","09:45","15:55","370","179.0","False","BOD","AMS","N/A","N/A","BCN","145.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 09:45:00","2024-11-22 15:55:00","225.0","2.0","Friday","morning","long","high","7335193371022695312"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","13:35","20:50","435","208.0","False","BOD","AMS","N/A","N/A","BCN","145.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 13:35:00","2024-11-22 20:50:00","290.0","2.0","Friday","afternoon","long","high","5512183591993243701"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","15:55","21:40","345","219.0","False","BOD","AMS","N/A","N/A","BCN","145.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 15:55:00","2024-11-22 21:40:00","200.0","2.0","Friday","afternoon","moyen","high","4933346450038979726"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","12:50","20:45","475","267.0","False","BOD","AMS","N/A","N/A","BCN","145.0","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 12:50:00","2024-11-22 20:45:00","330.0","2.0","Friday","afternoon","long","high","5077750410396074171"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","13:35","18:30","295","289.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 13:35:00","2024-11-22 18:30:00","","2.0","Friday","afternoon","moyen","high","7885871581003385903"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","12:15","20:25","490","313.0","False","BOD","AMS","N/A","N/A","BCN","145.0","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 12:15:00","2024-11-22 20:25:00","345.0","2.0","Friday","afternoon","long","high","2013697721700526096"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","06:00","13:00","420","316.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 06:00:00","2024-11-22 13:00:00","","2.0","Friday","morning","long","high","5829081873533480021"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","06:00","14:00","480","316.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 06:00:00","2024-11-22 14:00:00","","2.0","Friday","morning","long","high","7266901000384892327"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","06:00","11:40","340","348.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 06:00:00","2024-11-22 11:40:00","75.0","2.0","Friday","morning","moyen","high","234580004349587069"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","13:55","22:10","495","351.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 13:55:00","2024-11-22 22:10:00","230.0","2.0","Friday","afternoon","long","high","1435887249415845227"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","13:55","20:40","405","369.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 13:55:00","2024-11-22 20:40:00","140.0","2.0","Friday","afternoon","long","high","1850901113434594697"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","13:55","20:00","365","380.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 13:55:00","2024-11-22 20:00:00","100.0","2.0","Friday","afternoon","long","high","8817805391121972033"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","15:25","21:05","340","400.0","False","BOD","AMS","N/A","N/A","N/A","","Aer Lingus","Ryanair","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 15:25:00","2024-11-22 21:05:00","","2.0","Friday","afternoon","moyen","high","5843643183902160270"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","15:00","19:50","290","407.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 15:00:00","2024-11-22 19:50:00","25.0","2.0","Friday","afternoon","moyen","high","5502296887038085644"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","15:55","19:35","220","445.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:56:16","2024-11-22 15:55:00","2024-11-22 19:35:00","","2.0","Friday","afternoon","moyen","high","5376274546198749354"
"2024-11-20","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=price_a","14:40","22:35","475","556.0","False","BOD","AMS","N/A","N/A","N/A","","SWISS","Lufthansa","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:57:37","2024-11-23 14:40:00","2024-11-23 22:35:00","","3.0","Saturday","afternoon","long","high","8296150091236737669"
"2024-11-20","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=price_a","18:00","22:25","265","461.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","SWISS","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 21:59:06","2024-11-24 18:00:00","2024-11-24 22:25:00","","4.0","Sunday","evening","moyen","high","6240593481416632498"
"2024-11-20","2024-11-25","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-25?sort=price_a","07:45","15:55","490","220.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:00:24","2024-11-25 07:45:00","2024-11-25 15:55:00","","5.0","Monday","morning","long","high","2484255494090487716"
"2024-11-20","2024-11-26","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-26?sort=price_a","06:05","14:00","475","307.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","Air France","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:01:50","2024-11-26 06:05:00","2024-11-26 14:00:00","","6.0","Tuesday","morning","long","high","7298498237382671125"
"2024-11-20","2024-11-26","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-26?sort=price_a","14:50","19:50","300","328.0","False","BOD","AMS","N/A","N/A","LYS","240.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:01:50","2024-11-26 14:50:00","2024-11-26 19:50:00","60.0","6.0","Tuesday","afternoon","moyen","high","8984032609686349446"
"2024-11-20","2024-11-27","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-27?sort=price_a","06:00","11:40","340","368.0","False","BOD","AMS","N/A","N/A","MAD","65.0","Volotea","Air Europa","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:03:10","2024-11-27 06:00:00","2024-11-27 11:40:00","275.0","7.0","Wednesday","morning","moyen","high","3207827137624584908"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","13:35","18:55","320","139.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 13:35:00","2024-11-28 18:55:00","225.0","8.0","Thursday","afternoon","moyen","standard","2455096558572311102"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","12:40","20:35","475","146.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 12:40:00","2024-11-28 20:35:00","380.0","8.0","Thursday","afternoon","long","high","7898075425562193179"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","15:55","21:40","345","180.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 15:55:00","2024-11-28 21:40:00","250.0","8.0","Thursday","afternoon","moyen","high","4670479940974053684"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","13:35","21:50","495","239.0","False","BOD","AMS","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 13:35:00","2024-11-28 21:50:00","","8.0","Thursday","afternoon","long","high","2527136753225233693"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","13:35","21:20","465","254.0","False","BOD","AMS","N/A","N/A","BCN","95.0","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 13:35:00","2024-11-28 21:20:00","370.0","8.0","Thursday","afternoon","long","high","7152700032648422687"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","06:40","14:50","490","267.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 06:40:00","2024-11-28 14:50:00","","8.0","Thursday","morning","long","high","7585190385228878915"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","19:00","23:40","280","274.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","Transavia","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 19:00:00","2024-11-28 23:40:00","","8.0","Thursday","evening","moyen","high","3787662596623252204"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","06:40","14:00","440","276.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 06:40:00","2024-11-28 14:00:00","255.0","8.0","Thursday","morning","long","high","1080350689390899588"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","09:05","17:15","490","278.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 09:05:00","2024-11-28 17:15:00","305.0","8.0","Thursday","morning","long","high","1662882065683967320"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","13:50","20:50","420","297.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 13:50:00","2024-11-28 20:50:00","235.0","8.0","Thursday","afternoon","long","high","957330741599571708"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","06:00","13:00","420","299.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 06:00:00","2024-11-28 13:00:00","235.0","8.0","Thursday","morning","long","high","4486581330049730040"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","06:00","10:35","275","308.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 06:00:00","2024-11-28 10:35:00","","8.0","Thursday","morning","moyen","high","6349162616980811674"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","06:00","14:00","480","315.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 06:00:00","2024-11-28 14:00:00","295.0","8.0","Thursday","morning","long","high","4262823301624429964"
"2024-11-20","2024-11-28","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-28?sort=price_a","13:35","20:25","410","327.0","False","BOD","AMS","N/A","N/A","N/A","","Iberia","Vueling","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:04:45","2024-11-28 13:35:00","2024-11-28 20:25:00","","8.0","Thursday","afternoon","long","high","2008315598922858898"
"2024-11-20","2024-11-29","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-29?sort=price_a","13:35","20:50","435","171.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:06:05","2024-11-29 13:35:00","2024-11-29 20:50:00","170.0","9.0","Friday","afternoon","long","high","7251024088360605521"
"2024-11-20","2024-11-29","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-29?sort=price_a","13:35","18:30","295","180.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:06:05","2024-11-29 13:35:00","2024-11-29 18:30:00","30.0","9.0","Friday","afternoon","moyen","high","5106145076225780080"
"2024-11-20","2024-11-29","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-29?sort=price_a","15:25","21:05","340","219.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:06:05","2024-11-29 15:25:00","2024-11-29 21:05:00","75.0","9.0","Friday","afternoon","moyen","high","5961502554488716425"
"2024-11-20","2024-11-29","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-29?sort=price_a","09:45","15:55","370","222.0","False","BOD","AMS","N/A","N/A","BRS","265.0","easyJet","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 22:06:05","2024-11-29 09:45:00","2024-11-29 15:55:00","105.0","9.0","Friday","morning","long","high","6739042785549697441"
