"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","15:55","21:40","345","240.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 15:55:00","2024-11-20 21:40:00","155.0","0.0","Wednesday","afternoon","moyen","high","7834581398920568031"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","18:20","285","439.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:35:00","2024-11-20 18:20:00","95.0","0.0","Wednesday","afternoon","moyen","high","2576476890489458050"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","21:40","485","440.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:35:00","2024-11-20 21:40:00","295.0","0.0","Wednesday","afternoon","long","high","4260268674531311331"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","19:35","360","604.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 13:35:00","2024-11-20 19:35:00","170.0","0.0","Wednesday","afternoon","moyen","high","5672417647144259536"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:25","22:15","230","654.0","False","BOD","AMS","N/A","N/A","N/A","","Lufthansa","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 18:25:00","2024-11-20 22:15:00","","0.0","Wednesday","evening","moyen","high","1005395682804480827"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","721.0","True","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","3160400516980179512"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","722.0","True","BOD","AMS","N/A","N/A","N/A","","KLM","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","6919875071725193995"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","14:50","19:50","300","1092.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-20 14:50:00","2024-11-20 19:50:00","","0.0","Wednesday","afternoon","moyen","high","2399263914176535266"
"","","N/A","N/A","N/A","N/A","13:35","20:25","410","131.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","225.0","","","","long","standard","5442208660580283801"
"","","N/A","N/A","N/A","N/A","13:35","18:55","320","136.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","135.0","","","","moyen","standard","6903071184069575512"
