"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","N/A","N/A","N/A","N/A","13:35","14:50","75","54.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","","","","court","cheap","6388230064584451317"
"","","N/A","N/A","N/A","N/A","13:20","21:27","487","138.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","","","","long","standard","6388230064584451317"
"","","N/A","N/A","N/A","N/A","17:55","23:50","355","156.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","","","","moyen","high","6388230064584451317"
"","","N/A","N/A","N/A","N/A","12:30","17:20","290","178.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","6388230064584451317"
"","","N/A","N/A","N/A","N/A","19:00","23:05","245","181.0","False","BOD","BCN","N/A","N/A","N/A","","easyJet","Vueling","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","5881971663716410157"
"","","N/A","N/A","N/A","N/A","19:15","00:30+1","315","181.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","6388230064584451317"
"","","N/A","N/A","N/A","N/A","13:35","14:50","75","185.0","True","BOD","BCN","N/A","N/A","N/A","","Iberia","N/A","N/A","44.837789, -0.57918","","","","","","","","","court","high","2762528827903933224"
"","","N/A","N/A","N/A","N/A","09:05","14:30","325","193.0","False","BOD","BCN","N/A","N/A","N/A","","Iberia","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","2762528827903933224"
"","","N/A","N/A","N/A","N/A","17:55","22:50","295","326.0","False","BOD","BCN","N/A","N/A","TLS","124.0","SNCF","N/A","N/A","44.837789, -0.57918","","","","","171.0","","","","moyen","high","1594944115303996915"
"","","N/A","N/A","N/A","N/A","18:35","22:55","260","344.0","False","BOD","BCN","N/A","N/A","TLS","124.0","SNCF","N/A","N/A","44.837789, -0.57918","","","","","136.0","","","","moyen","high","1594944115303996915"
"","","N/A","N/A","N/A","N/A","13:50","19:15","325","454.0","False","BOD","BCN","N/A","N/A","TLS","124.0","SNCF","N/A","N/A","44.837789, -0.57918","","","","","201.0","","","","moyen","high","1594944115303996915"
"","","N/A","N/A","N/A","N/A","09:05","12:45","220","560.0","False","BOD","BCN","N/A","N/A","TLS","124.0","SNCF","N/A","N/A","44.837789, -0.57918","","","","","96.0","","","","moyen","high","1594944115303996915"
"","","N/A","N/A","N/A","N/A","14:55","19:15","260","573.0","False","BOD","BCN","N/A","N/A","N/A","","SWISS","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","1487814993323865047"
"","","N/A","N/A","N/A","N/A","18:00","23:05","305","854.0","False","BOD","BCN","N/A","N/A","TLS","124.0","SNCF","N/A","N/A","44.837789, -0.57918","","","","","181.0","","","","moyen","high","1594944115303996915"
"","","N/A","N/A","N/A","N/A","06:00","11:10","310","870.0","False","BOD","BCN","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","6510720397260421209"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","09:45","11:00","75","71.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","2024-11-22 09:45:00","2024-11-22 11:00:00","","2.0","Friday","morning","court","cheap","1840191169618953747"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","08:30","12:45","255","124.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","2024-11-22 08:30:00","2024-11-22 12:45:00","","2.0","Friday","morning","moyen","standard","1840191169618953747"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","08:26","16:31","485","127.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","2024-11-22 08:26:00","2024-11-22 16:31:00","","2.0","Friday","morning","long","standard","1840191169618953747"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","17:40","23:15","335","191.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","","","2024-11-22 17:40:00","2024-11-22 23:15:00","","2.0","Friday","evening","moyen","high","1840191169618953747"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","09:45","11:00","75","221.0","True","BOD","BCN","N/A","N/A","N/A","","Iberia","N/A","N/A","44.837789, -0.57918","","","2024-11-22 09:45:00","2024-11-22 11:00:00","","2.0","Friday","morning","court","high","3452475775460677498"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","10:50","15:55","305","233.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","","","2024-11-22 10:50:00","2024-11-22 15:55:00","","2.0","Friday","morning","moyen","high","1840191169618953747"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","09:05","12:45","220","234.0","False","BOD","BCN","N/A","N/A","N/A","","Iberia","N/A","N/A","44.837789, -0.57918","","","2024-11-22 09:05:00","2024-11-22 12:45:00","","2.0","Friday","morning","moyen","high","3452475775460677498"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","12:50","18:45","355","244.0","False","BOD","BCN","N/A","N/A","N/A","","Volotea","Vueling","N/A","44.837789, -0.57918","","","2024-11-22 12:50:00","2024-11-22 18:45:00","","2.0","Friday","afternoon","moyen","high","2446876573643850194"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","09:05","14:30","325","257.0","False","BOD","BCN","N/A","N/A","MAD","90.0","Volotea","Iberia","Économique","44.837789, -0.57918","","","2024-11-22 09:05:00","2024-11-22 14:30:00","235.0","2.0","Friday","morning","moyen","high","2446876573643850194"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","16:45","20:40","235","290.0","False","BOD","BCN","N/A","N/A","MAD","90.0","Volotea","Iberia","Économique","44.837789, -0.57918","","","2024-11-22 16:45:00","2024-11-22 20:40:00","145.0","2.0","Friday","afternoon","moyen","high","2446876573643850194"
"2024-11-20","2024-11-22","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-22?sort=price_a","13:55","19:30","335","358.0","False","BOD","BCN","N/A","N/A","MAD","90.0","Volotea","Iberia","Économique","44.837789, -0.57918","","","2024-11-22 13:55:00","2024-11-22 19:30:00","245.0","2.0","Friday","afternoon","moyen","high","2446876573643850194"
