"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","12:40","15:00","140","83.0","True","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 12:40:00","2024-11-21 15:00:00","","0","Thursday","afternoon","moyen","cheap","1445011148384125322"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","20:30","415","233.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 20:30:00","","0","Thursday","afternoon","long","high","485046827743236345"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","19:35","360","240.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 19:35:00","","0","Thursday","afternoon","moyen","high","9213379072055762459"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:35","540","255.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 22:35:00","","0","Thursday","afternoon","long","high","1867100290884252829"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","11:30","20:05","515","266.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Eurowings","N/A","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 11:30:00","2024-11-21 20:05:00","","0","Thursday","morning","long","high","4372849212910984579"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:40","545","267.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 22:40:00","","0","Thursday","afternoon","long","high","7592045906675479498"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","23:10","575","275.0","False","BOD","BER","N/A","N/A","N/A","","Vueling","Iberia Express","N/A","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 23:10:00","","0","Thursday","afternoon","long","high","4633452929636497458"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:35","540","288.0","False","BOD","BER","N/A","N/A","N/A","","Vueling","easyJet","N/A","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 22:35:00","","0","Thursday","afternoon","long","high","8143498658646263728"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","09:05","14:55","350","295.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","Économique","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 09:05:00","2024-11-21 14:55:00","170.0","0","Thursday","morning","moyen","high","6269414918279014220"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:50","17:50","240","297.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","Économique","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:50:00","2024-11-21 17:50:00","60.0","0","Thursday","afternoon","moyen","high","3857845247367115339"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","20:10","395","299.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","Économique","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 13:35:00","2024-11-21 20:10:00","215.0","0","Thursday","afternoon","long","high","4941750396836354512"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","17:55","23:10","315","314.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","N/A","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-21 17:55:00","2024-11-21 23:10:00","135.0","0","Thursday","evening","moyen","high","8650904562079621306"
