"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","12:40","15:00","140","83.0","True","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","","","2024-11-21 12:40:00","2024-11-21 15:00:00","","0","Thursday","afternoon","moyen","cheap","1179520154031673982"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","20:30","415","233.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 20:30:00","","0","Thursday","afternoon","long","high","1179520154031673982"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","19:35","360","240.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 19:35:00","","0","Thursday","afternoon","moyen","high","1179520154031673982"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:35","540","255.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 22:35:00","","0","Thursday","afternoon","long","high","1179520154031673982"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","11:30","20:05","515","266.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Eurowings","N/A","44.837789, -0.57918","","","2024-11-21 11:30:00","2024-11-21 20:05:00","","0","Thursday","morning","long","high","620748085998335746"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:40","545","267.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 22:40:00","","0","Thursday","afternoon","long","high","1179520154031673982"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","23:10","575","275.0","False","BOD","BER","N/A","N/A","N/A","","Vueling","Iberia Express","N/A","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 23:10:00","","0","Thursday","afternoon","long","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:35","540","288.0","False","BOD","BER","N/A","N/A","N/A","","Vueling","easyJet","N/A","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 22:35:00","","0","Thursday","afternoon","long","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","09:05","14:55","350","295.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","Économique","44.837789, -0.57918","","","2024-11-21 09:05:00","2024-11-21 14:55:00","170.0","0","Thursday","morning","moyen","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:50","17:50","240","297.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","Économique","44.837789, -0.57918","","","2024-11-21 13:50:00","2024-11-21 17:50:00","60.0","0","Thursday","afternoon","moyen","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","20:10","395","299.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","Économique","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 20:10:00","215.0","0","Thursday","afternoon","long","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","17:55","23:10","315","314.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","N/A","44.837789, -0.57918","","","2024-11-21 17:55:00","2024-11-21 23:10:00","135.0","0","Thursday","evening","moyen","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","12:30","20:30","480","318.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-21 12:30:00","2024-11-21 20:30:00","","0","Thursday","afternoon","long","high","1179520154031673982"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","18:35","22:40","245","321.0","False","BOD","BER","N/A","N/A","BCN","180.0","Vueling","N/A","N/A","44.837789, -0.57918","","","2024-11-21 18:35:00","2024-11-21 22:40:00","65.0","0","Thursday","evening","moyen","high","693401366056119134"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:25","530","322.0","False","BOD","BER","N/A","N/A","N/A","","Vueling","easyJet","N/A","44.837789, -0.57918","","","2024-11-21 13:35:00","2024-11-21 22:25:00","","0","Thursday","afternoon","long","high","693401366056119134"
"2024-11-21","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=price_a","12:50","22:55","605","154.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Ryanair","Économique","44.837789, -0.57918","","","2024-11-22 12:50:00","2024-11-22 22:55:00","","1","Friday","afternoon","long","high","5509159763965031873"
"2024-11-21","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=price_a","19:45","08:40+1","775","155.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Ryanair","Économique","44.837789, -0.57918","","","2024-11-22 19:45:00","2024-11-23 08:40:00","","1","Friday","evening","long","high","5509159763965031873"
"2024-11-21","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=price_a","12:15","17:20","305","164.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Ryanair","Économique","44.837789, -0.57918","","","2024-11-22 12:15:00","2024-11-22 17:20:00","","1","Friday","afternoon","moyen","high","5509159763965031873"
"2024-11-21","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=price_a","09:05","17:20","495","166.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Ryanair","N/A","44.837789, -0.57918","","","2024-11-22 09:05:00","2024-11-22 17:20:00","","1","Friday","morning","long","high","5509159763965031873"
"2024-11-21","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=price_a","19:45","11:10+1","925","166.0","False","BOD","BER","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-22 19:45:00","2024-11-23 11:10:00","","1","Friday","evening","long","high","599607743474084473"
"2024-11-21","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=price_a","07:00","20:35","815","178.0","False","BOD","BER","N/A","N/A","N/A","","Volotea","Ryanair","N/A","44.837789, -0.57918","","","2024-11-22 07:00:00","2024-11-22 20:35:00","","1","Friday","morning","long","high","5509159763965031873"
