"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","07:35+1","815","246.0","False","BOD","BRU","","","","","KLM","","","44.837789, -0.57918","","","2024-11-21 18:00:00","2024-11-22 07:35:00","","0","Thursday","evening","long","high","4023872909624325586"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","10:10+1","970","252.0","False","BOD","BRU","","","","","SNCF","","","44.837789, -0.57918","","","2024-11-21 18:00:00","2024-11-22 10:10:00","","0","Thursday","evening","long","high","6803143533216231914"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","22:35","245","264.0","False","BOD","BRU","","","","","Lufthansa","","","44.837789, -0.57918","","","2024-11-21 18:30:00","2024-11-21 22:35:00","","0","Thursday","evening","moyen","high","6106803045279147459"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","14:55","19:10","255","264.0","False","BOD","BRU","","","","","SWISS","","","44.837789, -0.57918","","","2024-11-21 14:55:00","2024-11-21 19:10:00","","0","Thursday","afternoon","moyen","high","1578980643996045510"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","17:55","10:05+1","970","294.0","False","BOD","CRL","","","","","Iberia","Ryanair","","44.837789, -0.57918","","","2024-11-21 17:55:00","2024-11-22 10:05:00","","0","Thursday","evening","long","high","7304408865654322606"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","09:50+1","920","296.0","False","BOD","BRU","","","BCN","285.0","Vueling","","","44.837789, -0.57918","","","2024-11-21 18:30:00","2024-11-22 09:50:00","635.0","0","Thursday","evening","long","high","568799122037597368"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:50","08:35+1","645","297.0","False","BOD","BRU","","","","","easyJet","ITA Airways","","44.837789, -0.57918","","","2024-11-21 21:50:00","2024-11-22 08:35:00","","0","Thursday","evening","long","high","851287633867153818"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","12:50","22:10","560","179.0","False","BOD","CRL","","","","","Volotea","Ryanair","","44.837789, -0.57918","","","2024-11-22 12:50:00","2024-11-22 22:10:00","","1","Friday","afternoon","long","high","4084682052539471444"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","07:00","19:50","770","193.0","False","BOD","BRU","","","","","SNCF","","","44.837789, -0.57918","","","2024-11-22 07:00:00","2024-11-22 19:50:00","","1","Friday","morning","long","high","383539294505646715"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","20:40","655","242.0","False","BOD","CRL","","","","","Vueling","Ryanair","","44.837789, -0.57918","","","2024-11-22 09:45:00","2024-11-22 20:40:00","","1","Friday","morning","long","high","743201175745051467"
