"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","20:10","11:00+1","890","501.0","False","BOD","BUD","","","MXP","550.0","easyJet","Wizz Air","","44.837789, -0.57918","","","2024-11-21 20:10:00","2024-11-22 11:00:00","340.0","0","Thursday","evening","long","high","1367986408840812373"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","18:30","23:20","290","598.0","False","BOD","BUD","","","","","Lufthansa","","","44.837789, -0.57918","","","2024-11-21 18:30:00","2024-11-21 23:20:00","","0","Thursday","evening","moyen","high","3484012055593067764"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","08:30","23:35","905","192.0","False","BOD","BUD","","","","","Volotea","Wizz Air","","44.837789, -0.57918","","","2024-11-22 08:30:00","2024-11-22 23:35:00","","1","Friday","morning","long","high","2429387664377650272"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","07:00","15:55","535","211.0","False","BOD","BUD","","","BSL","275.0","easyJet","","","44.837789, -0.57918","","","2024-11-22 07:00:00","2024-11-22 15:55:00","260.0","1","Friday","morning","long","high","1667151582248102585"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","09:45","00:20+1","875","215.0","False","BOD","BUD","","","","","Vueling","Wizz Air","","44.837789, -0.57918","","","2024-11-22 09:45:00","2024-11-23 00:20:00","","1","Friday","morning","long","high","657107194304320980"
"2024-11-21","2024-11-23","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-23?sort=price_a","17:55","23:40","345","214.0","False","BOD","BUD","","","","","Iberia","Ryanair","","44.837789, -0.57918","","","2024-11-23 17:55:00","2024-11-23 23:40:00","","2","Saturday","evening","moyen","high","4035366989542357413"
"2024-11-21","2024-11-23","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-23?sort=price_a","21:45","12:30+1","885","216.0","False","BOD","BUD","","","","","Vueling","Ryanair","","44.837789, -0.57918","","","2024-11-23 21:45:00","2024-11-24 12:30:00","","2","Saturday","evening","long","high","6039433749817051526"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","06:00","21:20","920","210.0","False","BOD","BUD","","","BER","90.0","easyJet","Ryanair","","44.837789, -0.57918","","","2024-11-24 06:00:00","2024-11-24 21:20:00","830.0","3","Sunday","morning","long","high","1282305617050649306"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","07:15","16:45","570","213.0","False","BOD","BUD","","","","","Volotea","Wizz Air","","44.837789, -0.57918","","","2024-11-24 07:15:00","2024-11-24 16:45:00","","3","Sunday","morning","long","high","7550760166485715176"
"2024-11-21","2024-11-25","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-25?sort=price_a","10:40","23:00","740","179.0","False","BOD","BUD","","","","","easyJet","Wizz Air Malta","","44.837789, -0.57918","","","2024-11-25 10:40:00","2024-11-25 23:00:00","","4","Monday","morning","long","high","988248354617286909"
"2024-11-21","2024-11-25","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-25?sort=price_a","07:45","23:00","915","184.0","False","BOD","BUD","","","","","Volotea","Iberia","","44.837789, -0.57918","","","2024-11-25 07:45:00","2024-11-25 23:00:00","","4","Monday","morning","long","high","6455531034230721860"
"2024-11-21","2024-11-26","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-26?sort=price_a","09:35","23:10","815","184.0","False","BOD","BUD","","","","","Vueling","Wizz Air","","44.837789, -0.57918","","","2024-11-26 09:35:00","2024-11-26 23:10:00","","5","Tuesday","morning","long","high","7177001703045512076"
"2024-11-21","2024-11-26","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-26?sort=price_a","06:00","14:25","505","189.0","False","BOD","BUD","","","","","easyJet","Wizz Air","","44.837789, -0.57918","","","2024-11-26 06:00:00","2024-11-26 14:25:00","","5","Tuesday","morning","long","high","2928848902121315861"
"2024-11-21","2024-11-26","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-26?sort=price_a","06:00","16:15","615","189.0","False","BOD","BUD","","","","","KLM","","","44.837789, -0.57918","","","2024-11-26 06:00:00","2024-11-26 16:15:00","","5","Tuesday","morning","long","high","1822474305003625639"
"2024-11-21","2024-11-27","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-27?sort=price_a","09:35","23:00","805","126.0","False","BOD","BUD","","","","","Vueling","Wizz Air","","44.837789, -0.57918","","","2024-11-27 09:35:00","2024-11-27 23:00:00","","6","Wednesday","morning","long","standard","5415125967828137230"
"2024-11-21","2024-11-27","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-27?sort=price_a","12:35","00:55+1","740","179.0","False","BOD","BUD","","","","","Volotea","easyJet","","44.837789, -0.57918","","","2024-11-27 12:35:00","2024-11-28 00:55:00","","6","Wednesday","afternoon","long","high","3860139627313832962"
"2024-11-21","2024-11-27","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-27?sort=price_a","06:50","18:25","695","187.0","False","BOD","BUD","","","LGW","350.0","easyJet","Wizz Air","","44.837789, -0.57918","","","2024-11-27 06:50:00","2024-11-27 18:25:00","345.0","6","Wednesday","morning","long","high","5645414853507257873"
"2024-11-21","2024-11-27","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-27?sort=price_a","17:55","23:35","340","188.0","False","BOD","BUD","","","","","Iberia","Wizz Air","","44.837789, -0.57918","","","2024-11-27 17:55:00","2024-11-27 23:35:00","","6","Wednesday","evening","moyen","high","779852882158008473"
"2024-11-21","2024-11-28","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-28?sort=price_a","15:45","23:30","465","202.0","False","BOD","BUD","","","BSL","310.0","easyJet","","","44.837789, -0.57918","","","2024-11-28 15:45:00","2024-11-28 23:30:00","155.0","7","Thursday","afternoon","long","high","2866281509275559216"
"2024-11-21","2024-11-28","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-28?sort=price_a","11:30","23:15","705","213.0","False","BOD","BUD","","","","","Volotea","Wizz Air Malta","","44.837789, -0.57918","","","2024-11-28 11:30:00","2024-11-28 23:15:00","","7","Thursday","morning","long","high","7214780437091105298"
"2024-11-21","2024-11-29","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-29?sort=price_a","17:40","08:35+1","895","174.0","False","BOD","BUD","","","","","Volotea","Ryanair","","44.837789, -0.57918","","","2024-11-29 17:40:00","2024-11-30 08:35:00","","8","Friday","evening","long","standard","388928832185141598"
"2024-11-21","2024-11-29","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-29?sort=price_a","22:25","15:20+1","1015","188.0","False","BOD","BUD","","","","","easyJet","Ryanair","","44.837789, -0.57918","","","2024-11-29 22:25:00","2024-11-30 15:20:00","","8","Friday","night","long","high","2209862317144558051"
"2024-11-21","2024-11-30","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-30?sort=price_a","06:05","15:35","570","145.0","False","BOD","BUD","","","","","easyJet","Wizz Air","","44.837789, -0.57918","","","2024-11-30 06:05:00","2024-11-30 15:35:00","","9","Saturday","morning","long","standard","5284939834416848973"
"2024-11-21","2024-11-30","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-30?sort=price_a","10:20","23:10","770","168.0","False","BOD","BUD","","","MAD","185.0","Iberia","Wizz Air Malta","","44.837789, -0.57918","","","2024-11-30 10:20:00","2024-11-30 23:10:00","585.0","9","Saturday","morning","long","standard","1377877565609379007"
"2024-11-21","2024-11-30","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-30?sort=price_a","10:20","00:20+1","840","177.0","False","BOD","BUD","","","","","Volotea","Aegean Airlines","","44.837789, -0.57918","","","2024-11-30 10:20:00","2024-12-01 00:20:00","","9","Saturday","morning","long","high","8719575534629746237"
