"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","13:00+1","850","376.0","False","BOD","HEL","0","0","MXP-LIN","","easyJet","Lufthansa","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","2024-11-22 13:00:00","","0","Thursday","evening","long","high","4505635784015893547"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","18:30","01:10+1","340","566.0","False","BOD","HEL","0","0","FRA","80.0","easyJet","Lufthansa","Economy Light","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 18:30:00","2024-11-22 01:10:00","260.0","0","Thursday","evening","moyen","high","4090259454546608634"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","13:25+2","2315","259.0","False","BOD","HEL","0","0","MXP-BGY","","easyJet","Lufthansa","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","","","0","Thursday","evening","long","high","4193952804519048511"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","13:00+1","850","379.0","False","BOD","HEL","N/A","N/A","N/A","","easyJet","Lufthansa","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","2024-11-22 13:00:00","","0","Thursday","evening","long","high","4505635784015893547"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","13:00+1","850","381.0","False","BOD","HEL","N/A","N/A","MXP-LIN","","easyJet","Lufthansa","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","2024-11-22 13:00:00","","0","Thursday","evening","long","high","4505635784015893547"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","12:00+1","790","470.0","False","BOD","HEL","N/A","N/A","N/A","","easyJet","Lufthansa","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","2024-11-22 12:00:00","","0","Thursday","evening","long","high","6514363051601743928"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","14:55+1","965","298.0","False","BOD","HEL","N/A","N/A","MXP","455.0","easyJet","Ryanair","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","2024-11-22 14:55:00","510.0","0","Thursday","evening","long","high","5283964588531894714"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","22:40","14:55+1","915","357.0","False","BOD","HEL","N/A","N/A","MXP","400.0","easyJet","Ryanair","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 22:40:00","2024-11-22 14:55:00","515.0","0","Thursday","night","long","high","9063123841468504594"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:30","13:30+1","900","395.0","False","BOD","HEL","0","1","FRA","80.0","Lufthansa","N/A","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:30:00","2024-11-22 13:30:00","820.0","0","Thursday","evening","long","high","991677774614049576"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","14:50+1","960","341.0","False","BOD","HEL","0","1","MXP","430.0","Lufthansa","N/A","Standard","44.837789, -0.57918","60.1674881, 24.9427473","2402.64","2024-11-21 16:43:10","2024-11-21 21:50:00","2024-11-22 14:50:00","530.0","0","Thursday","evening","long","high","8665313397149774792"
