"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","18:00","11:05+1","1565","553.0","False","BOD","LAX","2","1","IST","490.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 18:00:00","2024-11-23 11:05:00","1075.0","0","Friday","evening","long","cheap","7680434196447269516"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","18:00","11:05+1","1565","510.0","False","BOD","LAX","2","1","IST","490.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 18:00:00","2024-11-23 11:05:00","1075.0","0","Friday","evening","long","cheap","7680434196447269516"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","20:10","11:05+1","1435","1042.0","False","BOD","LAX","2","1","IST","490.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 20:10:00","2024-11-23 11:05:00","945.0","0","Friday","evening","long","standard","4087294085151841076"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","15:55","21:35","880","2824.0","False","BOD","LAX","N/A","N/A","CDG","65.0","Turkish Airlines","N/A","Light","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 15:55:00","2024-11-22 21:35:00","815.0","0","Friday","afternoon","long","high","1191069522698563139"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","13:35","21:35","1020","3436.0","False","BOD","LAX","N/A","N/A","N/A","","Air France","N/A","Promotion","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 13:35:00","2024-11-22 21:35:00","","0","Friday","afternoon","long","high","686875722991128619"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","13:35","22:29","1074","3439.0","False","BOD","LAX","N/A","N/A","CDG","95.0","Turkish Airlines","N/A","Light","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 13:35:00","2024-11-22 22:29:00","979.0","0","Friday","afternoon","long","high","7417738755750352314"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","17:55","09:30+1","1475","3103.0","False","BOD","LAX","N/A","N/A","CDG","235.0","Iberia","Aeromexico","Light","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 17:55:00","2024-11-23 09:30:00","1240.0","0","Friday","evening","long","high","6618270065617276121"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","20:10","11:45+1","1475","3438.0","False","BOD","LAX","N/A","N/A","N/A","","Air France","N/A","Promotion","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 20:10:00","2024-11-23 11:45:00","","0","Friday","evening","long","high","3483431920846898785"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","20:10","11:22+1","1452","3628.0","False","BOD","LAX","2","1","CDG","65.0","Turkish Airlines","N/A","Light","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 20:10:00","2024-11-23 11:22:00","1387.0","0","Friday","evening","long","high","1857678258534267868"
"2024-11-22","2024-11-22","BOD","LAX","Los Angeles","https://www.kayak.fr/flights/BOD-LAX/2024-11-22?sort=bestflight_a","20:10","09:30+1","1340","3775.0","False","BOD","LAX","2","1","MAD","265.0","Turkish Airlines","N/A","Basic","44.837789, -0.57918","34.0536909, -118.242766","9249.32","2024-11-22 10:40:10","2024-11-22 20:10:00","2024-11-23 09:30:00","1075.0","0","Friday","evening","long","high","36620514077017090"
