"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","20:40","21:20","100","242.0","True","BOD","LGW","0","1","N/A","","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 20:40:00","2024-11-22 21:20:00","","0","Friday","evening","court","high","6602653802836633930"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","20:40","21:20","100","241.0","True","BOD","LGW","0","1","N/A","","British Airways","N/A","Basic Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 20:40:00","2024-11-22 21:20:00","","0","Friday","evening","court","high","6602653802836633930"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","20:10","16:35+1","1285","206.0","False","BOD","LHR","0","1","CDG","1115.0","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 20:10:00","2024-11-23 16:35:00","170.0","0","Friday","evening","long","standard","1659071708613034958"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","18:15","23:50","395","280.0","False","BOD","STN","N/A","N/A","N/A","","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 18:15:00","2024-11-22 23:50:00","","0","Friday","evening","long","high","3631697966003227663"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","17:45","22:35","350","249.0","False","BOD","LHR","N/A","N/A","OPO","150.0","Volotea","British Airways","Standard","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 17:45:00","2024-11-22 22:35:00","200.0","0","Friday","evening","moyen","high","5621628747960221779"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","17:55","21:45","290","961.0","False","BOD","LHR","N/A","N/A","N/A","","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 17:55:00","2024-11-22 21:45:00","","0","Friday","evening","moyen","high","9028571922336988585"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","17:55","21:45","290","967.0","False","BOD","LHR","N/A","N/A","NCE","130.0","Iberia","British Airways","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 17:55:00","2024-11-22 21:45:00","160.0","0","Friday","evening","moyen","high","9028571922336988585"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","20:10","18:20+1","1390","243.0","False","BOD","LHR","N/A","N/A","MAD","65.0","Air France","N/A","Business Optimal","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 20:10:00","2024-11-23 18:20:00","1325.0","0","Friday","evening","long","high","8211063338059474171"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","19:45","07:35+1","770","247.0","False","BOD","LTN","0","1","N/A","","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 19:45:00","2024-11-23 07:35:00","","0","Friday","evening","long","high","2421348478411428902"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","22:25","11:35+1","850","240.0","False","BOD","LTN","0","1","MAD","65.0","British Airways","N/A","Business Optimal","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 22:25:00","2024-11-23 11:35:00","785.0","0","Friday","night","long","high","7935487155671810301"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","19:45","07:00+1","735","306.0","False","BOD","STN","0","1","CDG","1225.0","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 19:45:00","2024-11-23 07:00:00","","0","Friday","evening","long","high","3670628133188658327"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","21:35","07:20+1","645","381.0","False","BOD","LGW","N/A","N/A","MXP","75.0","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 21:35:00","2024-11-23 07:20:00","570.0","0","Friday","evening","long","high","5201942397425509964"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","22:25","08:55+1","690","359.0","False","BOD","LGW","N/A","N/A","LIS","455.0","easyJet","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 22:25:00","2024-11-23 08:55:00","235.0","0","Friday","night","long","high","8532202475507493768"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","19:45","08:15+1","810","322.0","False","BOD","LGW","N/A","N/A","N/A","","British Airways","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 19:45:00","2024-11-23 08:15:00","","0","Friday","evening","long","high","7899851103092790318"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","21:20","10:05+1","825","329.0","False","BOD","LGW","N/A","N/A","MXP-BGY","","easyJet","Wizz Air","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 21:20:00","2024-11-23 10:05:00","","0","Friday","evening","long","high","4574343093930757408"
"2024-11-22","2024-11-22","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-22?sort=bestflight_a","19:45","07:35+1","770","344.0","False","BOD","LGW","N/A","N/A","BSL","460.0","easyJet","Wizz Air","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-22 13:01:59","2024-11-22 19:45:00","2024-11-23 07:35:00","310.0","0","Friday","evening","long","high","2421348478411428902"
