"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","19:45","21:20","95","102.0","True","BOD","MXP","0","0","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 19:45:00","2024-11-22 21:20:00","","0","Friday","evening","court","cheap","1507869090672685066"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","19:45","21:20","95","90.0","True","BOD","MXP","0","0","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 19:45:00","2024-11-22 21:20:00","","0","Friday","evening","court","cheap","1507869090672685066"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","12:30","18:35","365","1130.0","False","BOD","MXP","0","0","AMS","155.0","easyJet","N/A","Affaires","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 12:30:00","2024-11-22 18:35:00","210.0","0","Friday","afternoon","long","high","5783822970997524196"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","10:50","17:40","410","1442.0","False","BOD","MXP","N/A","N/A","CDG","240.0","easyJet","N/A","Affaires","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 10:50:00","2024-11-22 17:40:00","170.0","0","Friday","morning","long","high","6989548781187195334"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:05","17:20","435","245.0","False","BOD","MXP","0","0","MRS","135.0","easyJet","Vueling","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 10:05:00","2024-11-23 17:20:00","300.0","2","Saturday","morning","long","high","19282410387550182"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","08:55+1","670","79.0","False","BOD","MXP","0","0","BCN","500.0","easyJet","Vueling","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 21:45:00","2024-11-24 08:55:00","170.0","2","Saturday","evening","long","cheap","5931794401951585218"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","14:40","18:15","215","423.0","False","BOD","MXP","0","0","MRS","135.0","easyJet","Vueling","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 14:40:00","2024-11-23 18:15:00","80.0","2","Saturday","afternoon","moyen","high","1916178364941830048"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:20","17:50","450","193.0","False","BOD","MXP","N/A","N/A","ZRH","65.0","easyJet","Vueling","Economy Light","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 10:20:00","2024-11-23 17:50:00","385.0","2","Saturday","morning","long","standard","5754440602619639911"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:20","17:50","450","193.0","False","BOD","MXP","N/A","N/A","N/A","","Volotea","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 10:20:00","2024-11-23 17:50:00","","2","Saturday","morning","long","standard","5001090438737390396"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","10:10+1","745","117.0","False","BOD","MXP","N/A","N/A","ATH","100.0","easyJet","Vueling","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 21:45:00","2024-11-24 10:10:00","645.0","2","Saturday","evening","long","standard","818099244822167222"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","10:20+1","755","119.0","False","BOD","MXP","N/A","N/A","ATH","100.0","Vueling","Wizz Air","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 21:45:00","2024-11-24 10:20:00","655.0","2","Saturday","evening","long","standard","571885197637522258"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","15:30","23:15","465","214.0","False","BOD","MXP","N/A","N/A","BCN","565.0","Volotea","easyJet","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 15:30:00","2024-11-23 23:15:00","","2","Saturday","afternoon","long","high","4311744551863458016"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","06:05","13:55","470","294.0","False","BOD","MXP","0","0","BCN","580.0","Vueling","N/A","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 06:05:00","2024-11-23 13:55:00","","2","Saturday","morning","long","high","6689469294874129868"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:20","17:50","450","300.0","False","BOD","MXP","0","0","AGP","205.0","Vueling","N/A","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 10:20:00","2024-11-23 17:50:00","245.0","2","Saturday","morning","long","high","6607725952838759908"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","05:58","15:15","557","273.0","False","BOD","MXP","0","0","RAK","110.0","Vueling","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 05:58:00","2024-11-23 15:15:00","447.0","2","Saturday","morning","long","high","2706547165597253102"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:05","17:20","435","232.0","False","BOD","MXP","N/A","N/A","ATH","100.0","Vueling","N/A","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 10:05:00","2024-11-23 17:20:00","335.0","2","Saturday","morning","long","high","7813030046297207889"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","07:40","17:20","580","197.0","False","BOD","MXP","N/A","N/A","CDG","245.0","easyJet","Vueling","Light","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 07:40:00","2024-11-23 17:20:00","335.0","2","Saturday","morning","long","standard","5204811192955582364"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","09:05","18:25","560","312.0","False","BOD","MXP","N/A","N/A","MRS","135.0","Vueling","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 09:05:00","2024-11-23 18:25:00","425.0","2","Saturday","morning","long","high","8485234776354948409"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","11:50+1","845","230.0","False","BOD","MXP","N/A","N/A","LYS","245.0","Vueling","Singapore Airlines","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 21:45:00","2024-11-24 11:50:00","600.0","2","Saturday","evening","long","high","3604780089859952002"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","09:05","17:20","495","365.0","False","BOD","MXP","N/A","N/A","MAD","340.0","Iberia","Air Europa","Basic","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 09:05:00","2024-11-23 17:20:00","155.0","2","Saturday","morning","long","high","976543264978753929"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:05","21:05","660","242.0","False","BOD","MXP","0","1","BCN","685.0","SWISS","N/A","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 10:05:00","2024-11-23 21:05:00","","2","Saturday","morning","long","high","8914336084262617284"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","07:40","21:05","805","222.0","False","BOD","MXP","0","1","MAD","280.0","SWISS","N/A","Basic Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 07:40:00","2024-11-23 21:05:00","525.0","2","Saturday","morning","long","high","5487967651424074921"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","07:40","19:55","735","262.0","False","BOD","MXP","0","1","ZRH","65.0","SWISS","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 07:40:00","2024-11-23 19:55:00","670.0","2","Saturday","morning","long","high","4374784635112234127"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","10:35+1","770","248.0","False","BOD","MXP","N/A","N/A","MRS","135.0","SWISS","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-23 21:45:00","2024-11-24 10:35:00","635.0","2","Saturday","evening","long","high","8555796600375669655"
