"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","09:45","19:50","965","631.0","False","BOD","YYZ","0","0","BCN","190.0","Vueling","Azores Airlines","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 09:45:00","2024-11-22 19:50:00","775.0","0","Friday","morning","long","cheap","8704018935046026622"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","09:45","19:50","965","656.0","False","BOD","YYZ","0","0","BCN","190.0","Vueling","Azores Airlines","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 09:45:00","2024-11-22 19:50:00","775.0","0","Friday","morning","long","cheap","8704018935046026622"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","05:58","14:50","892","1368.0","False","BOD","YYZ","0","0","BCN","190.0","Vueling","Azores Airlines","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 05:58:00","2024-11-22 14:50:00","702.0","0","Friday","morning","long","high","8704018935046026622"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","09:45","21:15","1050","815.0","False","BOD","YYZ","N/A","N/A","CDG","144.0","Vueling","Azores Airlines","Flex","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 09:45:00","2024-11-22 21:15:00","906.0","0","Friday","morning","long","standard","8704018935046026622"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","09:45","20:15","990","1027.0","False","BOD","YYZ","N/A","N/A","N/A","","Iberia","N/A","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 09:45:00","2024-11-22 20:15:00","","0","Friday","morning","long","high","6699719440250755784"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","09:45","20:15","990","1027.0","False","BOD","YYZ","N/A","N/A","BCN","215.0","Vueling","Azores Airlines","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 09:45:00","2024-11-22 20:15:00","775.0","0","Friday","morning","long","high","8704018935046026622"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","08:30","21:15","1125","837.0","False","BOD","YYZ","N/A","N/A","BCN","155.0","Volotea","TAP AIR PORTUGAL","Optimal","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 08:30:00","2024-11-22 21:15:00","970.0","0","Friday","morning","long","standard","1803150987871277078"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","08:30","21:15","1125","837.0","False","BOD","YYZ","N/A","N/A","N/A","","Volotea","TAP AIR PORTUGAL","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 08:30:00","2024-11-22 21:15:00","","0","Friday","morning","long","standard","1803150987871277078"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","09:45","21:15","1050","896.0","False","BOD","YYZ","0","0","BCN","195.0","Vueling","Azores Airlines","Optimal","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 09:45:00","2024-11-22 21:15:00","855.0","0","Friday","morning","long","standard","8704018935046026622"
"2024-11-22","2024-11-22","BOD","YYZ","Toronto","https://www.kayak.fr/flights/BOD-YYZ/2024-11-22?sort=bestflight_a","08:30","19:50","1040","763.0","False","BOD","YYZ","0","0","MAD","130.0","Vueling","Azores Airlines","Economy","44.837789, -0.57918","48.74507875, 2.35916359733546","488.78","2024-11-22 08:30:00","2024-11-22 19:50:00","910.0","0","Friday","morning","long","cheap","8704018935046026622"
