"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","09:45+1","720","152.0","False","BOD","AMS","0","0","BCN","495.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 09:45:00","225.0","0","Saturday","evening","long","cheap","4236782483331449799"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","09:45+1","720","113.0","False","BOD","AMS","0","0","BCN","495.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 09:45:00","225.0","0","Saturday","evening","long","cheap","4236782483331449799"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","12:30+1","885","175.0","False","BOD","AMS","0","0","BCN","495.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 12:30:00","390.0","0","Saturday","evening","très_long","cheap","7445072156204916103"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:50+1","965","172.0","False","BOD","AMS","N/A","N/A","BCN","665.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:50:00","300.0","0","Saturday","evening","très_long","cheap","708910838488280371"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","12:30+1","885","174.0","False","BOD","AMS","N/A","N/A","N/A","","Vueling","Transavia","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 12:30:00","","0","Saturday","evening","très_long","cheap","7445072156204916103"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","15:55+1","1090","183.0","False","BOD","AMS","N/A","N/A","BCN","745.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 15:55:00","345.0","0","Saturday","evening","très_long","cheap","6047057522732691339"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","16:10+1","1105","217.0","False","BOD","AMS","N/A","N/A","BCN","665.0","Vueling","easyJet","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 16:10:00","440.0","0","Saturday","evening","très_long","cheap","725021873103874909"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:15+1","930","249.0","False","BOD","AMS","N/A","N/A","BCN","870.0","Vueling","Transavia","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:15:00","60.0","0","Saturday","evening","très_long","cheap","6488192426229493450"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","14:25+1","1000","240.0","False","BOD","AMS","0","0","BCN","430.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 14:25:00","570.0","0","Saturday","evening","très_long","cheap","2784206680299132984"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:15+1","930","252.0","False","BOD","AMS","0","0","BCN","480.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:15:00","450.0","0","Saturday","evening","très_long","cheap","6488192426229493450"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","12:15+1","870","270.0","False","BOD","AMS","0","0","BCN","430.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 12:15:00","440.0","0","Saturday","evening","très_long","cheap","3421997817033920491"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:15+1","930","261.0","False","BOD","AMS","N/A","N/A","BCN","585.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:15:00","345.0","0","Saturday","evening","très_long","cheap","6488192426229493450"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","12:15+1","870","273.0","False","BOD","AMS","N/A","N/A","BCN","505.0","Vueling","easyJet","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 12:15:00","365.0","0","Saturday","evening","très_long","cheap","3421997817033920491"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:15+1","930","280.0","False","BOD","AMS","N/A","N/A","BCN","500.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:15:00","430.0","0","Saturday","evening","très_long","standard","6488192426229493450"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","09:45+1","720","338.0","False","BOD","AMS","N/A","N/A","BCN","525.0","Iberia","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 09:45:00","195.0","0","Saturday","evening","long","standard","4236782483331449799"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","14:10+1","985","283.0","False","BOD","AMS","N/A","N/A","BCN","565.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 14:10:00","420.0","0","Saturday","evening","très_long","standard","6823269555818059110"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:00+1","915","269.0","False","BOD","AMS","0","0","BCN","495.0","Vueling","N/A","Basic","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:00:00","420.0","0","Saturday","evening","très_long","cheap","3420383821953253130"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:45+1","960","294.0","False","BOD","AMS","0","0","BCN","475.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:45:00","485.0","0","Saturday","evening","très_long","standard","7653373849423039059"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","08:25+1","640","343.0","False","BOD","AMS","0","0","BCN","665.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 08:25:00","","0","Saturday","evening","long","standard","6112002998912886436"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","13:50+1","965","417.0","False","BOD","AMS","N/A","N/A","BCN","425.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 13:50:00","540.0","0","Saturday","evening","très_long","standard","708910838488280371"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","12:30+1","885","449.0","False","BOD","AMS","N/A","N/A","BCN","475.0","Iberia","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 12:30:00","410.0","0","Saturday","evening","très_long","standard","7445072156204916103"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","15:55+1","1090","455.0","False","BOD","AMS","N/A","N/A","BCN","425.0","Vueling","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 15:55:00","665.0","0","Saturday","evening","très_long","standard","6047057522732691339"
"2024-11-23","2024-11-23","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-23?sort=bestflight_a","21:45","14:25+1","1000","790.0","False","BOD","AMS","N/A","N/A","N/A","","Iberia","SWISS","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 14:58:42","2024-11-23 21:45:00","2024-11-24 14:25:00","","0","Saturday","evening","très_long","high","2784206680299132984"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","16:40","21:50","310","256.0","False","BOD","AMS","0","0","BSL","130.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 16:40:00","2024-11-24 21:50:00","180.0","1","Sunday","afternoon","moyen","cheap","5195060401535928855"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","16:40","21:50","310","209.0","False","BOD","AMS","0","0","BSL","130.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 16:40:00","2024-11-24 21:50:00","180.0","1","Sunday","afternoon","moyen","cheap","5195060401535928855"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","18:00","23:20","320","297.0","False","BOD","AMS","0","0","BSL","130.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 18:00:00","2024-11-24 23:20:00","190.0","1","Sunday","evening","moyen","standard","8778143642828738194"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","18:00","22:25","265","536.0","False","BOD","AMS","N/A","N/A","BCN","100.0","easyJet","N/A","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 18:00:00","2024-11-24 22:25:00","165.0","1","Sunday","evening","moyen","high","8681226628632292598"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","14:55","19:05","250","655.0","False","BOD","AMS","N/A","N/A","N/A","","SWISS","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 14:55:00","2024-11-24 19:05:00","","1","Sunday","afternoon","moyen","high","6312355442739727533"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","07:30","15:55","505","315.0","False","BOD","AMS","N/A","N/A","ZRH","70.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 07:30:00","2024-11-24 15:55:00","435.0","1","Sunday","morning","long","standard","1949577423167167230"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","06:00","10:35","275","690.0","False","BOD","AMS","N/A","N/A","ZRH","50.0","Air France","N/A","Economy Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 06:00:00","2024-11-24 10:35:00","225.0","1","Sunday","morning","moyen","high","104265684285228257"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","14:55","20:50","355","502.0","False","BOD","AMS","N/A","N/A","N/A","","SWISS","KLM","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 14:55:00","2024-11-24 20:50:00","","1","Sunday","afternoon","moyen","high","4451396534757302427"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","06:00","11:40","340","689.0","False","BOD","AMS","0","0","RAK","110.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 06:00:00","2024-11-24 11:40:00","230.0","1","Sunday","morning","moyen","high","6394980117193069786"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","15:35","22:15","400","404.0","False","BOD","AMS","0","0","CDG","105.0","easyJet","N/A","Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 15:35:00","2024-11-24 22:15:00","295.0","1","Sunday","afternoon","long","standard","480848918516987165"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","15:35","22:25","410","408.0","False","BOD","AMS","0","0","ZRH","155.0","easyJet","N/A","Elight","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 15:35:00","2024-11-24 22:25:00","255.0","1","Sunday","afternoon","long","standard","3789546575249481861"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","15:35","22:15","400","440.0","False","BOD","AMS","N/A","N/A","CDG","170.0","easyJet","N/A","Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 15:35:00","2024-11-24 22:15:00","230.0","1","Sunday","afternoon","long","standard","480848918516987165"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","14:55","21:40","405","741.0","False","BOD","AMS","N/A","N/A","MXP","65.0","Air France","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 14:55:00","2024-11-24 21:40:00","340.0","1","Sunday","afternoon","long","high","5586978561167156148"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","06:00","13:00","420","740.0","False","BOD","AMS","N/A","N/A","MXP","110.0","easyJet","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 06:00:00","2024-11-24 13:00:00","310.0","1","Sunday","morning","long","high","7355353946117568786"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","12:58","19:35","397","907.0","False","BOD","AMS","N/A","N/A","MXP","65.0","Air France","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 12:58:00","2024-11-24 19:35:00","332.0","1","Sunday","afternoon","long","high","8498383626891623280"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","11:30","18:30","420","462.0","False","BOD","AMS","N/A","N/A","CDG","250.0","Volotea","Lufthansa","Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 11:30:00","2024-11-24 18:30:00","170.0","1","Sunday","morning","long","standard","2783523752942400568"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","14:55","22:25","450","657.0","False","BOD","AMS","0","0","CDG","255.0","Vueling","Transavia","Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 14:55:00","2024-11-24 22:25:00","195.0","1","Sunday","afternoon","long","high","3912267817773732947"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","11:30","19:05","455","441.0","False","BOD","AMS","0","0","CDG","94.0","Vueling","Transavia","Business Leisure","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 11:30:00","2024-11-24 19:05:00","361.0","1","Sunday","morning","long","standard","4889227957829957908"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","11:30","19:15","465","490.0","False","BOD","AMS","0","0","FLR","65.0","Vueling","Transavia","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 11:30:00","2024-11-24 19:15:00","400.0","1","Sunday","morning","long","standard","5459247165573837547"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","14:55","22:15","440","631.0","False","BOD","AMS","N/A","N/A","BCN","100.0","Vueling","Transavia","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 14:55:00","2024-11-24 22:15:00","340.0","1","Sunday","afternoon","long","high","8148122455679498533"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","14:55","22:15","440","659.0","False","BOD","AMS","N/A","N/A","ZRH","250.0","SWISS","Austrian Airlines","Economy Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 14:55:00","2024-11-24 22:15:00","190.0","1","Sunday","afternoon","long","high","8148122455679498533"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","06:00","14:00","480","689.0","False","BOD","AMS","N/A","N/A","FLR","95.0","Vueling","Transavia","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 06:00:00","2024-11-24 14:00:00","385.0","1","Sunday","morning","long","high","5859693598406486080"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","10:45","18:30","465","624.0","False","BOD","AMS","N/A","N/A","FLR","110.0","Volotea","Lufthansa","Economy","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 10:45:00","2024-11-24 18:30:00","355.0","1","Sunday","morning","long","high","5399134638252993834"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","12:30","14:20","110","1287.0","True","BOD","AMS","N/A","N/A","N/A","","KLM","N/A","Standard","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 12:30:00","2024-11-24 14:20:00","","1","Sunday","afternoon","court","high","8404460694453231890"
"2024-11-23","2024-11-24","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-24?sort=bestflight_a","12:30","14:20","110","1287.0","True","BOD","AMS","0","0","N/A","","easyJet","SWISS","Economy Light","44.837789, -0.57918","52.3730796, 4.8924534","929.39","2024-11-23 15:01:52","2024-11-24 12:30:00","2024-11-24 14:20:00","","1","Sunday","afternoon","court","high","8404460694453231890"
