"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-19","2024-11-20","BOD","BCN","Barcelone","N/A","09:35","10:50","75","49.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:47:53","2024-11-20 09:35:00","2024-11-20 10:50:00","","1","Wednesday","morning","très_court","cheap","8009992140544116612"
"2024-11-19","2024-11-20","BOD","BCN","Barcelone","N/A","09:35","10:50","75","49.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:47:53","2024-11-20 09:35:00","2024-11-20 10:50:00","","1","Wednesday","morning","très_court","cheap","8009992140544116612"
"2024-11-19","2024-11-20","BOD","BCN","Barcelone","N/A","09:35","10:50","75","170.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:47:53","2024-11-20 09:35:00","2024-11-20 10:50:00","","1","Wednesday","morning","très_court","high","8009992140544116612"
"2024-11-19","2024-11-21","BOD","BCN","Barcelone","N/A","13:35","14:50","75","49.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:48:39","2024-11-21 13:35:00","2024-11-21 14:50:00","","2","Thursday","afternoon","très_court","cheap","1911113484720165664"
"2024-11-19","2024-11-21","BOD","BCN","Barcelone","N/A","13:35","14:50","75","49.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:48:39","2024-11-21 13:35:00","2024-11-21 14:50:00","","2","Thursday","afternoon","très_court","cheap","1911113484720165664"
"2024-11-19","2024-11-21","BOD","BCN","Barcelone","N/A","13:35","14:50","75","170.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:48:39","2024-11-21 13:35:00","2024-11-21 14:50:00","","2","Thursday","afternoon","très_court","high","1911113484720165664"
"2024-11-19","2024-11-22","BOD","BCN","Barcelone","N/A","09:45","11:00","75","65.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:49:27","2024-11-22 09:45:00","2024-11-22 11:00:00","","3","Friday","morning","très_court","cheap","3833993084201841130"
"2024-11-19","2024-11-22","BOD","BCN","Barcelone","N/A","09:45","11:00","75","65.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:49:27","2024-11-22 09:45:00","2024-11-22 11:00:00","","3","Friday","morning","très_court","cheap","3833993084201841130"
"2024-11-19","2024-11-22","BOD","BCN","Barcelone","N/A","09:45","11:00","75","194.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:49:27","2024-11-22 09:45:00","2024-11-22 11:00:00","","3","Friday","morning","très_court","high","3833993084201841130"
"2024-11-19","2024-11-24","BOD","BCN","Barcelone","N/A","18:00","19:10","70","92.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","47.0539707, 0.5864762","262.38","2024-11-19 23:50:46","2024-11-24 18:00:00","2024-11-24 19:10:00","","5","Sunday","evening","très_court","standard","1134438562866877471"
