"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","21:35","10:35+1","780","204.0","False","BOD","BER","0","0","GVA","595.0","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 21:35:00","2024-11-23 10:35:00","185.0","0","Friday","evening","long","high","6815322260084128262"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","19:45","11:10+1","925","203.0","False","BOD","BER","0","0","MXP-LIN","","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 19:45:00","2024-11-23 11:10:00","","0","Friday","evening","long","high","8936955881455753746"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","17:55","23:10","315","718.0","False","BOD","BER","N/A","N/A","GVA","595.0","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 17:55:00","2024-11-22 23:10:00","","0","Friday","evening","moyen","high","471226272363988485"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","19:45","08:40+1","775","253.0","False","BOD","BER","N/A","N/A","MAD","45.0","easyJet","Ryanair","Business Optimal","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 19:45:00","2024-11-23 08:40:00","730.0","0","Friday","evening","long","high","7499877205834346005"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","21:35","11:05+1","810","259.0","False","BOD","BER","N/A","N/A","GVA","595.0","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 21:35:00","2024-11-23 11:05:00","215.0","0","Friday","evening","long","high","8460963893353902507"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","19:45","13:00+1","1035","217.0","False","BOD","BER","N/A","N/A","MXP-BGY","","easyJet","Ryanair","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 19:45:00","2024-11-23 13:00:00","","0","Friday","evening","long","high","5347476084967181429"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","21:50","10:35+1","765","321.0","False","BOD","BER","N/A","N/A","BSL","630.0","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 21:50:00","2024-11-23 10:35:00","135.0","0","Friday","evening","long","high","4980457298899058751"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","20:40","08:35+1","715","490.0","False","BOD","BER","0","0","MXP-BGY","","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 20:40:00","2024-11-23 08:35:00","","0","Friday","evening","long","high","281186363404705575"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","20:40","14:00+1","1040","411.0","False","BOD","BER","0","0","GVA","595.0","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 20:40:00","2024-11-23 14:00:00","445.0","0","Friday","evening","long","high","729058413433945365"
"2024-11-22","2024-11-22","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-22?sort=bestflight_a","18:00","09:50+1","950","457.0","False","BOD","BER","0","0","NCE","460.0","easyJet","N/A","Standard","44.837789, -0.57918","52.510885, 13.3989367","1333.09","2024-11-22 13:02:11","2024-11-22 18:00:00","2024-11-23 09:50:00","490.0","0","Friday","evening","long","high","9026948390438967543"
