"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","17:40","23:35","355","343.0","False","BOD","BRU","0","0","FCO","90.0","Volotea","Brussels Airlines","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 17:40:00","2024-11-22 23:35:00","265.0","0","Friday","evening","moyen","high","9039868752791905150"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","17:46","22:47","301","232.0","True","BOD","BRU","0","0","N/A","","Volotea","Brussels Airlines","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 17:46:00","2024-11-22 22:47:00","","0","Friday","evening","moyen","high","7714742974775748175"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","17:40","08:20+1","880","208.0","False","BOD","BRU","0","0","FCO","615.0","Volotea","Brussels Airlines","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 17:40:00","2024-11-23 08:20:00","265.0","0","Friday","evening","long","high","1357950514375674810"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","18:05","22:15","250","601.0","False","BOD","BRU","N/A","N/A","FCO","90.0","Volotea","Brussels Airlines","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 18:05:00","2024-11-22 22:15:00","160.0","0","Friday","evening","moyen","high","5229791603916169187"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","17:40","23:35","355","348.0","False","BOD","BRU","N/A","N/A","AMS","90.0","Volotea","Brussels Airlines","Light","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 17:40:00","2024-11-22 23:35:00","265.0","0","Friday","evening","moyen","high","9039868752791905150"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","17:55","22:35","280","774.0","False","BOD","BRU","N/A","N/A","FCO","90.0","Volotea","Brussels Airlines","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 17:55:00","2024-11-22 22:35:00","190.0","0","Friday","evening","moyen","high","6143871154186562200"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","21:50","10:25+1","755","259.0","False","BOD","BRU","N/A","N/A","FCO","90.0","Tunisair","N/A","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 21:50:00","2024-11-23 10:25:00","665.0","0","Friday","evening","long","high","6143682023333227444"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","19:45","08:35+1","770","266.0","False","BOD","BRU","N/A","N/A","MAD","50.0","easyJet","ITA Airways","Business Optimal","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 19:45:00","2024-11-23 08:35:00","720.0","0","Friday","evening","long","high","6681439687176487707"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","21:35","08:15+1","640","348.0","False","BOD","BRU","0","1","TUN","475.0","SNCF","Eurostar","Economy","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 21:35:00","2024-11-23 08:15:00","165.0","0","Friday","evening","long","high","826079901946943358"
"2024-11-22","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=bestflight_a","22:25","11:00+1","755","272.0","False","BOD","BRU","0","1","MXP-LIN","","SNCF","Eurostar","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 13:02:07","2024-11-22 22:25:00","2024-11-23 11:00:00","","0","Friday","night","long","high","6925224750059808383"
