"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2025-04-07","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2025-04-07?sort=price_a","06:30","15:45","555","135.0","False","BOD","CPH","","","","","KLM","","","","","2025-04-07 06:30:00","2025-04-07 15:45:00","","137","Monday","morning","long","standard",""
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","18:35","09:20+1","885","197.0","False","BOD","CPH","","","BCN","125.0","Vueling","","Économique","","","2024-11-21 18:35:00","2024-11-22 09:20:00","760.0","0","Thursday","evening","long","high","3.1139878862290115e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","21:50","13:25+1","935","210.0","False","BOD","CPH","","","BCN","125.0","Vueling","","","","","2024-11-21 21:50:00","2024-11-22 13:25:00","810.0","0","Thursday","evening","long","high","7.838057187022155e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","13:35","22:10","515","214.0","False","BOD","CPH","","","","","Vueling","Scandinavian Airlines","","","","2024-11-21 13:35:00","2024-11-21 22:10:00","","0","Thursday","afternoon","long","high","6.647120781982694e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","11:30","17:10","340","215.0","False","BOD","CPH","","","BCN","125.0","Vueling","","","","","2024-11-21 11:30:00","2024-11-21 17:10:00","215.0","0","Thursday","morning","moyen","high","2.9627726842513224e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","18:00","09:00+1","900","230.0","False","BOD","CPH","","","","","KLM","","","","","2024-11-21 18:00:00","2024-11-22 09:00:00","","0","Thursday","evening","long","high","1.450643146771755e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","21:50","11:15+1","805","253.0","False","BOD","CPH","","","CDG","65.0","Air France","","Light","","","2024-11-21 21:50:00","2024-11-22 11:15:00","740.0","0","Thursday","evening","long","high","4.162896068219176e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","21:30","10:05+1","755","254.0","False","BOD","CPH","","","CDG","65.0","Air France","","Light","","","2024-11-21 21:30:00","2024-11-22 10:05:00","690.0","0","Thursday","evening","long","high","7.99845246746561e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","14:50","23:00","490","256.0","False","BOD","CPH","","","CDG","65.0","Air France","","Light","","","2024-11-21 14:50:00","2024-11-21 23:00:00","425.0","0","Thursday","afternoon","long","high","4.923063417507762e+18"
"2024-11-21","2024-11-21","BOD","CPH","Copenhague","https://www.kayak.fr/flights/BOD-CPH/2024-11-21?sort=price_a","20:10","09:20+1","790","261.0","False","BOD","CPH","","","CDG","65.0","Air France","","","","","2024-11-21 20:10:00","2024-11-22 09:20:00","725.0","0","Thursday","evening","long","high","5.782529356378043e+18"
