"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","17:40","10:23+1","1363","580.0","False","BOD","CUN","0","0","FCO","140.0","Volotea","Aeromexico","Economy","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 17:40:00","2024-11-23 10:23:00","1223.0","0","Friday","evening","long","cheap","6546154030972425525"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","21:50","16:15+2","2905","524.0","False","BOD","CUN","0","0","TUN","480.0","Volotea","Aeromexico","Light","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 21:50:00","","2425.0","0","Friday","evening","long","cheap","5680152679729992667"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","17:40","12:34+1","1494","536.0","False","BOD","CUN","N/A","N/A","FCO","140.0","Volotea","Aeromexico","Economy","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 17:40:00","2024-11-23 12:34:00","1354.0","0","Friday","evening","long","cheap","4779055040642007244"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","17:40","11:08+1","1408","593.0","False","BOD","CUN","N/A","N/A","FCO","140.0","Volotea","Aeromexico","Economy","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 17:40:00","2024-11-23 11:08:00","1268.0","0","Friday","evening","long","cheap","8398135475433343155"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","22:25","19:20+1","1615","587.0","False","BOD","CUN","N/A","N/A","FCO","140.0","easyJet","Iberia","Economy","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 22:25:00","2024-11-23 19:20:00","1475.0","0","Friday","night","long","cheap","943806315601963786"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","20:40","16:55+1","1575","1249.0","False","BOD","CUN","N/A","N/A","LIS","495.0","British Airways","N/A","Standard","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 20:40:00","2024-11-23 16:55:00","1080.0","0","Friday","evening","long","standard","1530412883066431195"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","18:00","12:55+1","1495","973.0","False","BOD","CUN","0","0","LIS","430.0","Volotea","Aeromexico","Standard","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 18:00:00","2024-11-23 12:55:00","1065.0","0","Friday","evening","long","standard","4374847505144796147"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","21:35","19:20+1","1665","594.0","False","BOD","CUN","0","0","IST","135.0","Volotea","Aeromexico","Promotion","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 21:35:00","2024-11-23 19:20:00","1530.0","0","Friday","evening","long","cheap","8377590004260696654"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","17:40","13:29+1","1549","632.0","False","BOD","CUN","N/A","N/A","GVA","425.0","Volotea","Aeromexico","Standard","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 17:40:00","2024-11-23 13:29:00","1124.0","0","Friday","evening","long","cheap","9208112946682525738"
"2024-11-22","2024-11-22","BOD","CUN","Cancún","https://www.kayak.fr/flights/BOD-CUN/2024-11-22?sort=bestflight_a","17:55","19:20+1","1885","1002.0","False","BOD","CUN","N/A","N/A","GVA","425.0","Iberia","World2Fly","Standard","44.837789, -0.57918","50.67130109454475, 2.9030605184065834","698.98","2024-11-22 05:38:15","2024-11-22 17:55:00","2024-11-23 19:20:00","1460.0","0","Friday","evening","long","standard","9109463504376992262"
