"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","07:10","21:35","745","402.0","False","BOD","DOH","0","0","ATH","215.0","easyJet","Gulf Air","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 07:10:00","2024-11-24 21:35:00","530.0","1","Sunday","morning","très_long","cheap","590014493733575049"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","12:00","00:45+1","645","454.0","False","BOD","DOH","0","0","IST","160.0","easyJet","Gulf Air","Promotion","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 12:00:00","2024-11-25 00:45:00","485.0","1","Sunday","afternoon","long","standard","5279634811640860412"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","18:00","01:05+2","1745","256.0","False","BOD","DOH","0","0","ZRH","965.0","easyJet","Gulf Air","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 18:00:00","","780.0","1","Sunday","evening","très_long","cheap","1226710801826208204"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","08:10","01:05+1","895","335.0","False","BOD","DOH","N/A","N/A","ATH","215.0","easyJet","Gulf Air","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 08:10:00","2024-11-25 01:05:00","680.0","1","Sunday","morning","très_long","cheap","7614587161822153721"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","12:00","00:10+1","610","548.0","False","BOD","DOH","N/A","N/A","BER","95.0","Turkish Airlines","Qatar Airways","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 12:00:00","2024-11-25 00:10:00","515.0","1","Sunday","afternoon","long","standard","8100683634348891822"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","07:10","21:35","745","407.0","False","BOD","DOH","N/A","N/A","ATH","215.0","easyJet","Gulf Air","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 07:10:00","2024-11-24 21:35:00","530.0","1","Sunday","morning","très_long","cheap","590014493733575049"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","12:00","05:50+1","950","454.0","False","BOD","DOH","N/A","N/A","IST","140.0","Turkish Airlines","N/A","Ps","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 12:00:00","2024-11-25 05:50:00","810.0","1","Sunday","afternoon","très_long","standard","2400495961366953038"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","07:10","03:45+1","1115","313.0","False","BOD","DOH","N/A","N/A","ATH","215.0","easyJet","Royal Jordanian","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 07:10:00","2024-11-25 03:45:00","900.0","1","Sunday","morning","très_long","cheap","3218734574552507967"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","07:10","18:35","565","847.0","False","BOD","DOH","0","1","IST","460.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 07:10:00","2024-11-24 18:35:00","105.0","1","Sunday","morning","long","high","1553975954592381092"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","18:00","06:15+1","615","861.0","False","BOD","DOH","0","1","ATH","100.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 18:00:00","2024-11-25 06:15:00","515.0","1","Sunday","evening","long","high","7865044486672242427"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","08:10","01:05+1","895","419.0","False","BOD","DOH","0","1","ATH","110.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 08:10:00","2024-11-25 01:05:00","785.0","1","Sunday","morning","très_long","cheap","7614587161822153721"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","12:00","03:45+1","825","468.0","False","BOD","DOH","N/A","N/A","BCN","185.0","Turkish Airlines","N/A","Economy","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 12:00:00","2024-11-25 03:45:00","640.0","1","Sunday","afternoon","très_long","standard","5820303838453252946"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","08:10","22:55","765","682.0","False","BOD","DOH","N/A","N/A","BER","195.0","easyJet","Qatar Airways","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 08:10:00","2024-11-24 22:55:00","570.0","1","Sunday","morning","très_long","high","2143894801362527590"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","09:05","01:05+1","840","478.0","False","BOD","DOH","N/A","N/A","IST","185.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 09:05:00","2024-11-25 01:05:00","655.0","1","Sunday","morning","très_long","standard","5239993117140054152"
"2024-11-23","2024-11-24","BOD","DOH","Doha","https://www.kayak.fr/flights/BOD-DOH/2024-11-24?sort=bestflight_a","10:45","00:45+1","720","560.0","False","BOD","DOH","N/A","N/A","BER","290.0","Volotea","Turkish Airlines","Standard","44.837789, -0.57918","25.2856329, 51.5264162","5119.31","2024-11-23 10:29:26","2024-11-24 10:45:00","2024-11-25 00:45:00","430.0","1","Sunday","morning","long","standard","2794303472365947741"
