"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:30","14:50+1","980","461.0","False","BOD","HEL","","","MXP","425.0","Lufthansa","","Standard","","","2024-11-21 21:30:00","2024-11-22 14:50:00","555.0","0","Thursday","evening","long","high","8864781783267662809"
"2024-11-21","2024-11-21","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-21?sort=bestflight_a","21:50","13:25+2","2315","259.0","False","BOD","HEL","0.0","0.0","MXP","720.0","easyJet","Pegasus Airlines","Standard","","","2024-11-21 21:50:00","","1595.0","0","Thursday","evening","long","standard","2819348494473090596"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","15:55","23:00","365","644.0","False","BOD","HEL","","","","","Air France","Finnair","Promotion","","","2024-11-22 15:55:00","2024-11-22 23:00:00","","1","Friday","afternoon","long","high","7137807458315038499"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","10:50","22:55","665","278.0","False","BOD","HEL","","","DUB","100.0","Turkish Airlines","","Saver","","","2024-11-22 10:50:00","2024-11-22 22:55:00","565.0","1","Friday","morning","long","standard","4096227657388274700"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","18:05","00:05+1","300","","False","BOD","HEL","","","CDG","95.0","KLM","","Light","","","2024-11-22 18:05:00","2024-11-23 00:05:00","205.0","1","Friday","evening","moyen","cheap","1381927802511006036"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","20:40","10:50+1","790","360.0","False","BOD","HEL","","","CDG","275.0","British Airways","Ryanair","Light","","","2024-11-22 20:40:00","2024-11-23 10:50:00","515.0","1","Friday","evening","long","standard","9004776038482700346"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","12:50","23:25","575","374.0","False","BOD","HEL","","","IST","530.0","Volotea","Air Dolomiti","Promotion","","","2024-11-22 12:50:00","2024-11-22 23:25:00","45.0","1","Friday","afternoon","long","standard","337360290971634275"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","10:50","20:40","530","465.0","False","BOD","HEL","","","LYS","70.0","Finnair","","Standard","","","2024-11-22 10:50:00","2024-11-22 20:40:00","460.0","1","Friday","morning","long","high","434405300410910607"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","16:20","10:50+1","1050","281.0","False","BOD","HEL","","","VCE","255.0","easyJet","Ryanair","Economy","","","2024-11-22 16:20:00","2024-11-23 10:50:00","795.0","1","Friday","afternoon","long","standard","5034813541958941172"
"2024-11-21","2024-11-22","BOD","HEL","Helsinki","https://www.kayak.fr/flights/BOD-HEL/2024-11-22?sort=bestflight_a","09:45","20:40","595","476.0","False","BOD","HEL","","","BCN","120.0","Vueling","airBaltic","Economy","","","2024-11-22 09:45:00","2024-11-22 20:40:00","475.0","1","Friday","morning","long","high","8107485920237049423"
