"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-22?sort=bestflight_a","22:25","23:20","115","83.0","True","BOD","LIS","0","0","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:01:38","2024-11-22 22:25:00","2024-11-22 23:20:00","","0","Friday","night","court","cheap","522405866122772862"
"2024-11-22","2024-11-22","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-22?sort=bestflight_a","18:15","21:05","230","283.0","False","BOD","LIS","0","0","OPO","70.0","easyJet","N/A","Standard","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:01:38","2024-11-22 18:15:00","2024-11-22 21:05:00","160.0","0","Friday","evening","moyen","high","1587533634191737966"
"2024-11-22","2024-11-22","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-22?sort=bestflight_a","18:05","23:10","365","619.0","False","BOD","LIS","N/A","N/A","AMS","70.0","easyJet","N/A","Light","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:01:38","2024-11-22 18:05:00","2024-11-22 23:10:00","295.0","0","Friday","evening","long","high","3811092425524970840"
"2024-11-22","2024-11-22","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-22?sort=bestflight_a","17:55","21:30","275","850.0","False","BOD","LIS","N/A","N/A","N/A","","Iberia","TAP AIR PORTUGAL","Standard","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:01:38","2024-11-22 17:55:00","2024-11-22 21:30:00","","0","Friday","evening","moyen","high","9188633291894815428"
"2024-11-22","2024-11-22","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-22?sort=bestflight_a","17:55","22:15","320","742.0","False","BOD","LIS","N/A","N/A","MAD","110.0","easyJet","N/A","Basic","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:01:38","2024-11-22 17:55:00","2024-11-22 22:15:00","210.0","0","Friday","evening","moyen","high","2780292469249846638"
"2024-11-22","2024-11-22","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-22?sort=bestflight_a","17:55","23:25","390","790.0","False","BOD","LIS","N/A","N/A","MAD","150.0","Iberia","N/A","Basic","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:01:38","2024-11-22 17:55:00","2024-11-22 23:25:00","240.0","0","Friday","evening","long","high","1080724901103568774"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","15:30","20:40","370","166.0","False","BOD","LIS","1","1","AGP","175.0","Iberia","N/A","Economy","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 15:30:00","2024-11-23 20:40:00","195.0","1","Saturday","afternoon","long","standard","7896996607186534121"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","21:45","09:55+1","790","130.0","False","BOD","LIS","1","1","BCN","485.0","Iberia","N/A","Economy","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 21:45:00","2024-11-24 09:55:00","305.0","1","Saturday","evening","long","standard","418412068815187730"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","17:55","21:30","275","216.0","False","BOD","LIS","N/A","N/A","MAD","105.0","Iberia","TAP AIR PORTUGAL","Basic","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 17:55:00","2024-11-23 21:30:00","170.0","1","Saturday","evening","moyen","high","37275379589941183"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","08:50","17:30","580","162.0","False","BOD","LIS","N/A","N/A","MAD","430.0","Iberia","N/A","Business Optimal","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 08:50:00","2024-11-23 17:30:00","150.0","1","Saturday","morning","long","standard","4297665763391255599"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","08:50","13:40","350","295.0","False","BOD","LIS","N/A","N/A","MAD","110.0","easyJet","TAP AIR PORTUGAL","Basic","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 08:50:00","2024-11-23 13:40:00","240.0","1","Saturday","morning","moyen","high","1352315519930289815"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","14:40","19:55","375","287.0","False","BOD","LIS","N/A","N/A","GVA","330.0","SWISS","TAP AIR PORTUGAL","Standard","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 14:40:00","2024-11-23 19:55:00","45.0","1","Saturday","afternoon","long","high","7877697845620919907"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","09:05","12:30","265","391.0","False","BOD","LIS","0","0","GVA","105.0","Volotea","Ryanair","Standard","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 09:05:00","2024-11-23 12:30:00","160.0","1","Saturday","morning","moyen","high","4972609280547946078"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","21:45","07:35+1","650","175.0","False","BOD","LIS","0","0","ZRH","105.0","Volotea","Ryanair","Economy Light","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 21:45:00","2024-11-24 07:35:00","545.0","1","Saturday","evening","long","high","5625658965567136433"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","21:45","10:55+1","850","130.0","False","BOD","LIS","0","0","MAD","100.0","Volotea","Ryanair","Basic","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 21:45:00","2024-11-24 10:55:00","750.0","1","Saturday","evening","long","standard","8271104267326567356"
"2024-11-22","2024-11-23","BOD","LIS","Lisbonne","https://www.kayak.fr/flights/BOD-LIS/2024-11-23?sort=bestflight_a","11:35","16:55","380","335.0","False","BOD","LIS","N/A","N/A","BCN","460.0","Volotea","Ryanair","Economy","44.837789, -0.57918","48.2000626, -1.0692149","375.64","2024-11-22 13:03:38","2024-11-23 11:35:00","2024-11-23 16:55:00","","1","Saturday","morning","long","high","7280325957237755719"
