"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","06:50","07:30","100","93.0","True","BOD","LGW","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 06:50:00","2024-11-20 07:30:00","","1","Wednesday","morning","court","cheap","4410255239804460701"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","20:20","21:00","100","263.0","True","BOD","LGW","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 20:20:00","2024-11-20 21:00:00","","1","Wednesday","evening","court","standard","5383940968161738644"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","18:35","21:25","230","191.0","False","BOD","LHR","1 bagage en soute","1 bagage à main","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 18:35:00","2024-11-20 21:25:00","","1","Wednesday","evening","moyen","cheap","8398694869831846383"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","06:00","09:00","240","214.0","False","BOD","LHR","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 06:00:00","2024-11-20 09:00:00","","1","Wednesday","morning","moyen","standard","8270147140569064134"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","09:05","13:20","315","233.0","False","BOD","LGW","1 bagage en soute","1 bagage à main","N/A","","Iberia","easyJet","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 09:05:00","2024-11-20 13:20:00","","1","Wednesday","morning","moyen","standard","5785130832204060120"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","15:55","21:25","390","207.0","False","BOD","LHR","1 bagage en soute","1 bagage à main","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 15:55:00","2024-11-20 21:25:00","","1","Wednesday","afternoon","long","standard","8499268672851560543"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","09:35","14:40","365","217.0","False","BOD","STN","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 09:35:00","2024-11-20 14:40:00","","1","Wednesday","morning","long","standard","6450817025200449182"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","16:40","22:35","415","209.0","False","BOD","LGW","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 16:40:00","2024-11-20 22:35:00","","1","Wednesday","afternoon","long","standard","3721687419714735357"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","06:00","08:50","230","432.0","False","BOD","LCY","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 06:00:00","2024-11-20 08:50:00","","1","Wednesday","morning","moyen","high","7482526093283504140"
"2024-11-19","2024-11-20","BOD","LON","N/A","N/A","17:55","22:25","330","271.0","False","BOD","LTN","1 bagage en soute","1 bagage à main","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","2024-11-19 23:27:38","2024-11-20 17:55:00","2024-11-20 22:25:00","","1","Wednesday","evening","moyen","standard","3293085211581471676"
