"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","08:30+1","705","172.0","False","BOD","LGW","0","0","BCN","485.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 08:30:00","220.0","0","Saturday","evening","long","cheap","4999416452009853931"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","08:30+1","705","131.0","False","BOD","LGW","0","0","BCN","485.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 08:30:00","220.0","0","Saturday","evening","long","cheap","4999416452009853931"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","08:20+1","695","132.0","False","BOD","STN","0","0","BCN","485.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 08:20:00","210.0","0","Saturday","evening","long","cheap","9194121459615467112"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","09:10+1","745","131.0","False","BOD","LGW","N/A","N/A","BCN","475.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 09:10:00","270.0","0","Saturday","evening","long","cheap","6051413385664187173"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","09:55+1","790","132.0","False","BOD","LGW","N/A","N/A","N/A","","Vueling","easyJet","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 09:55:00","","0","Saturday","evening","long","cheap","2259806333250872455"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","09:10+1","745","146.0","False","BOD","LHR","N/A","N/A","BCN","525.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 09:10:00","220.0","0","Saturday","evening","long","cheap","6051413385664187173"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","11:50+1","905","132.0","False","BOD","LTN","N/A","N/A","BCN","565.0","Vueling","easyJet","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 11:50:00","340.0","0","Saturday","evening","long","cheap","9041997347979208477"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","11:15+1","870","143.0","False","BOD","STN","N/A","N/A","BCN","535.0","Vueling","Ryanair","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 11:15:00","335.0","0","Saturday","evening","long","cheap","3697065254182767607"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","08:15+1","690","278.0","False","BOD","LHR","0","0","BCN","690.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 08:15:00","0.0","0","Saturday","evening","long","high","8560802432411065576"
"2024-11-23","2024-11-23","BOD","LON","Londres","https://www.kayak.fr/flights/BOD-LON/2024-11-23?sort=bestflight_a","21:45","14:15+1","1050","161.0","False","BOD","STN","0","0","BCN","485.0","Vueling","N/A","Economy","44.837789, -0.57918","43.7914507, 3.7329918","363.09","2024-11-23 14:58:46","2024-11-23 21:45:00","2024-11-24 14:15:00","565.0","0","Saturday","evening","long","cheap","5051184203533584086"
