"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","18:35","22:40","245","176.0","False","BOD","PRG","","","MXP","1190.0","easyJet","","Standard","","","2024-11-21 18:35:00","2024-11-21 22:40:00","","0","Thursday","evening","moyen","high","1734750126976803957"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","13:35","20:25","410","212.0","False","BOD","PRG","","","MXP","1190.0","easyJet","","","","","2024-11-21 13:35:00","2024-11-21 20:25:00","","0","Thursday","afternoon","long","high","8643542476575490757"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","21:50","11:10+1","800","212.0","False","BOD","PRG","","","","","easyJet","","","","","2024-11-21 21:50:00","2024-11-22 11:10:00","","0","Thursday","evening","long","high","8023546450025662871"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","18:00","08:20+1","860","212.0","False","BOD","PRG","","","","","KLM","","","","","2024-11-21 18:00:00","2024-11-22 08:20:00","","0","Thursday","evening","long","high","9147124024927957475"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","22:40","13:35+1","895","272.0","False","BOD","PRG","","","CDG","60.0","Air France","","Light","","","2024-11-21 22:40:00","2024-11-22 13:35:00","835.0","0","Thursday","night","long","high","7409040142525064338"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","21:50","12:50+1","900","275.0","False","BOD","PRG","","","CDG","60.0","Air France","","","","","2024-11-21 21:50:00","2024-11-22 12:50:00","840.0","0","Thursday","evening","long","high","921108496365181280"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","17:55","09:45+1","950","282.0","False","BOD","PRG","","","","","Iberia","Ryanair","","","","2024-11-21 17:55:00","2024-11-22 09:45:00","","0","Thursday","evening","long","high","4471769879926803097"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","17:55","09:50+1","955","292.0","False","BOD","PRG","","","CDG","60.0","Air France","","","","","2024-11-21 17:55:00","2024-11-22 09:50:00","895.0","0","Thursday","evening","long","high","4609596945662316354"
"2024-11-21","2024-11-21","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-21?sort=price_a","20:10","10:50+1","880","297.0","False","BOD","PRG","","","","","Air France","KLM","","","","2024-11-21 20:10:00","2024-11-22 10:50:00","","0","Thursday","evening","long","high","1415957262383276452"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","19:45","08:10+1","745","153.0","False","BOD","PRG","","","MXP","580.0","easyJet","","","","","2024-11-22 19:45:00","2024-11-23 08:10:00","165.0","1","Friday","evening","long","high","9095227820129339349"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","20:10","08:55+1","765","176.0","False","BOD","PRG","","","","","Air France","","","","","2024-11-22 20:10:00","2024-11-23 08:55:00","","1","Friday","evening","long","high","7947951940536203570"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","09:05","14:40","335","184.0","False","BOD","PRG","","","","","easyJet","Volotea","","","","2024-11-22 09:05:00","2024-11-22 14:40:00","","1","Friday","morning","moyen","high","4249095413327510658"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","18:35","08:55+1","860","201.0","False","BOD","PRG","","","MXP","530.0","easyJet","Wizz Air Malta","Standard","","","2024-11-22 18:35:00","2024-11-23 08:55:00","330.0","1","Friday","evening","long","high","6524562648644848287"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","07:00","13:05","365","208.0","False","BOD","PRG","","","MXP","530.0","easyJet","Wizz Air Malta","","","","2024-11-22 07:00:00","2024-11-22 13:05:00","","1","Friday","morning","long","high","1000351213827304822"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","17:40","08:40+1","900","208.0","False","BOD","PRG","","","","","Volotea","Wizz Air Malta","","","","2024-11-22 17:40:00","2024-11-23 08:40:00","","1","Friday","evening","long","high","6723979636880601282"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","09:45","20:40","655","217.0","False","BOD","PRG","","","MXP","530.0","easyJet","Wizz Air Malta","","","","2024-11-22 09:45:00","2024-11-22 20:40:00","125.0","1","Friday","morning","long","high","8297075362216507252"
"2024-11-21","2024-11-22","BOD","PRG","Prague","https://www.kayak.fr/flights/BOD-PRG/2024-11-22?sort=price_a","08:30","16:45","495","225.0","False","BOD","PRG","","","","","Volotea","Smartwings","","","","2024-11-22 08:30:00","2024-11-22 16:45:00","","1","Friday","morning","long","high","3971720364639979163"
