"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","18:30","06:00+1","930","807.0","False","BOD","GIG","0","1","FRA","115.0","Lufthansa","N/A","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 18:30:00","2024-11-25 06:00:00","815.0","1","Sunday","evening","long","standard","38728580676218954"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","18:30","06:00+1","930","806.0","False","BOD","GIG","0","1","FRA","115.0","Lufthansa","N/A","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 18:30:00","2024-11-25 06:00:00","815.0","1","Sunday","evening","long","standard","38728580676218954"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","20:55","18:50+1","1555","734.0","False","BOD","GIG","0","1","GVA","465.0","Lufthansa","N/A","Standard","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 20:55:00","2024-11-25 18:50:00","1090.0","1","Sunday","evening","long","cheap","8719011246251204397"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","14:55","10:45+1","1430","793.0","False","BOD","GIG","N/A","N/A","FRA","115.0","Lufthansa","N/A","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 14:55:00","2024-11-25 10:45:00","1315.0","1","Sunday","afternoon","long","standard","4431877496590458695"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","14:55","06:00+1","1145","844.0","False","BOD","GIG","N/A","N/A","ZRH","365.0","SWISS","N/A","Elight","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 14:55:00","2024-11-25 06:00:00","780.0","1","Sunday","afternoon","long","standard","392982852465855770"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","14:55","06:00+1","1145","844.0","False","BOD","GIG","N/A","N/A","FRA","115.0","Lufthansa","N/A","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 14:55:00","2024-11-25 06:00:00","1030.0","1","Sunday","afternoon","long","standard","392982852465855770"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","14:55","06:00+1","1145","844.0","False","BOD","GIG","N/A","N/A","ZRH","135.0","SWISS","N/A","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 14:55:00","2024-11-25 06:00:00","1010.0","1","Sunday","afternoon","long","standard","392982852465855770"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","17:50","06:25+1","995","1246.0","False","BOD","GIG","N/A","N/A","ZRH","210.0","easyJet","TAP AIR PORTUGAL","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 17:50:00","2024-11-25 06:25:00","785.0","1","Sunday","evening","long","high","6212627861403620725"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","14:10","06:00+1","1190","836.0","False","BOD","GIG","0","1","ZRH","90.0","Lufthansa","N/A","Economy Light","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 14:10:00","2024-11-25 06:00:00","1100.0","1","Sunday","afternoon","long","standard","125705432956183057"
"2024-11-23","2024-11-24","BOD","RIO","Rio de Janeiro","https://www.kayak.fr/flights/BOD-RIO/2024-11-24?sort=bestflight_a","18:30","11:30+1","1260","927.0","False","BOD","SDU","0","1","LIS","275.0","Lufthansa","N/A","Standard","44.837789, -0.57918","-22.9110137, -43.2093727","8661.04","2024-11-23 09:33:28","2024-11-24 18:30:00","2024-11-25 11:30:00","985.0","1","Sunday","evening","long","standard","7935358012557254631"
