"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","","","","","11:30","13:35","125","89.0","True","BOD","FCO","","","","","Volotea","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","standard","1530126292600068175"
"","","","","","","13:35","23:10","575","133.0","False","BOD","FCO","","","","","Volotea","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","6591909269798554057"
"","","","","","","11:30","16:20","290","140.0","False","BOD","FCO","","","","","Volotea","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","4933917675540698014"
"","","","","","","13:35","18:05","270","149.0","False","BOD","FCO","","","","","Volotea","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","8954803653107440429"
"","","","","","","17:55","00:55+1","420","156.0","False","BOD","FCO","","","","","Iberia","Wizz Air Malta","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","3959660833902023134"
"","","","","","","17:55","00:15+1","380","203.0","False","BOD","FCO","","","","","Volotea","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","5910071022497684666"
"","","","","","","12:40","19:50","430","231.0","False","BOD","FCO","","","","","easyJet","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","9095995475226404824"
"","","","","","","12:40","20:45","485","248.0","False","BOD","FCO","","","","","easyJet","Ryanair","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","837597570180457474"
"","","","","","","09:05","17:25","500","253.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","115.0","","","","long","high","6219417711652186480"
"","","","","","","09:05","15:30","385","257.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","0.0","","","","long","high","3569598384697986338"
"","","","","","","09:05","18:10","545","257.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","160.0","","","","long","high","1500469211354393011"
"","","","","","","12:30","21:15","525","261.0","False","BOD","CIA","","","BCN","385.0","Vueling","Wizz Air Malta","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","140.0","","","","long","high","4836539615184173663"
"","","","","","","09:05","13:55","290","277.0","False","BOD","FCO","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","75492155065207937"
"","","","","","","15:45","20:40","295","296.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","moyen","high","7672039142123058417"
"","","","","","","11:30","20:10","520","301.0","False","BOD","FCO","","","","","Volotea","ITA Airways","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","","long","high","358562102705309633"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","09:05","18:10","545","257.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 09:05:00","2024-11-21 18:10:00","160.0","1.0","Thursday","morning","long","high","8440335638633020776"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","11:30","20:10","520","301.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","ITA Airways","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 11:30:00","2024-11-21 20:10:00","","1.0","Thursday","morning","long","high","9131791726844826304"
