"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-21?sort=bestflight_a","18:00","09:00+1","900","","False","BOD","ARN","","","FRA","70.0","Lufthansa","","Standard","","","2024-11-21 18:00:00","2024-11-22 09:00:00","830.0","0","Thursday","evening","long","cheap","8134497346010818697"
"2024-11-21","2024-11-21","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-21?sort=bestflight_a","18:00","10:35+1","995","","False","BOD","ARN","","","MXP","400.0","KLM","","Standard","","","2024-11-21 18:00:00","2024-11-22 10:35:00","595.0","0","Thursday","evening","long","cheap","1162962941320934771"
"2024-11-21","2024-11-21","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-21?sort=bestflight_a","21:50","07:25+2","2015","222.0","False","BOD","ARN","","","AMS","660.0","easyJet","Wizz Air","Affaires","","","2024-11-21 21:50:00","","1355.0","0","Thursday","evening","long","standard","5709628804010586661"
"2024-11-21","2024-11-22","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-22?sort=bestflight_a","13:35","23:50","615","295.0","False","BOD","ARN","","","AMS","50.0","Volotea","Wizz Air","Light","","","2024-11-22 13:35:00","2024-11-22 23:50:00","565.0","1","Friday","afternoon","long","standard","5648917155560611222"
"2024-11-21","2024-11-22","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-22?sort=bestflight_a","09:05","23:55","890","248.0","False","BOD","ARN","","","MAD","600.0","Iberia","","Economy","","","2024-11-22 09:05:00","2024-11-22 23:55:00","290.0","1","Friday","morning","long","standard","831360298181012746"
"2024-11-21","2024-11-22","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-22?sort=bestflight_a","15:55","00:10+1","495","501.0","False","BOD","ARN","","","CDG","45.0","Air France","Scandinavian Airlines","Light","","","2024-11-22 15:55:00","2024-11-23 00:10:00","450.0","1","Friday","afternoon","long","high","7849778070620721414"
"2024-11-21","2024-11-22","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-22?sort=bestflight_a","15:55","00:10+1","495","527.0","False","BOD","ARN","","","","","Scandinavian Airlines","","Economy","","","2024-11-22 15:55:00","2024-11-23 00:10:00","","1","Friday","afternoon","long","high","7951664816329692134"
"2024-11-21","2024-11-22","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-22?sort=bestflight_a","12:15","23:55","700","289.0","False","BOD","ARN","","","FCO","60.0","easyJet","Iberia","Economy","","","2024-11-22 12:15:00","2024-11-22 23:55:00","640.0","1","Friday","afternoon","long","standard","1128196643250532179"
"2024-11-21","2024-11-22","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-22?sort=bestflight_a","09:45","23:55","850","234.0","False","BOD","ARN","0.0","1.0","AMS","50.0","KLM","","Economy","","","2024-11-22 09:45:00","2024-11-22 23:55:00","800.0","1","Friday","morning","long","standard","3045490232770091736"
"2024-11-21","2024-11-23","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-23?sort=bestflight_a","06:00","13:40","460","481.0","False","BOD","ARN","","","BCN","480.0","KLM","Scandinavian Airlines","Economy","","","2024-11-23 06:00:00","2024-11-23 13:40:00","","2","Saturday","morning","long","high","4012218668865589026"
"2024-11-21","2024-11-23","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-23?sort=bestflight_a","15:30","23:30","480","445.0","False","BOD","ARN","","","MRS","220.0","Volotea","Ryanair","Standard","","","2024-11-23 15:30:00","2024-11-23 23:30:00","260.0","2","Saturday","afternoon","long","high","6650506281900470442"
"2024-11-21","2024-11-23","BOD","STO","Stockholm","https://www.kayak.fr/flights/BOD-STO/2024-11-23?sort=bestflight_a","06:00","17:10","670","442.0","False","BOD","ARN","","","ZRH","280.0","Vueling","Ryanair","Economy Light","","","2024-11-23 06:00:00","2024-11-23 17:10:00","390.0","2","Saturday","morning","long","high","8025289618760457657"
