"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2025-04-08","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2025-04-08?sort=price_a","09:05","22:55","830","103.0","False","BOD","VIE","","","","","Iberia","","","","","2025-04-08 09:05:00","2025-04-08 22:55:00","","138","Tuesday","morning","long","standard",""
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","17:00","07:55+1","895","213.0","False","BOD","VIE","","","BCN","260.0","Vueling","Wizz Air Malta","Économique","","","2024-11-21 17:00:00","2024-11-22 07:55:00","635.0","0","Thursday","evening","long","high","4.5349129313202975e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","11:30","23:05","695","224.0","False","BOD","VIE","","","BCN","260.0","Vueling","Wizz Air Malta","","","","2024-11-21 11:30:00","2024-11-21 23:05:00","435.0","0","Thursday","morning","long","high","6.91545983092219e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","21:50","14:00+1","970","268.0","False","BOD","VIE","","","BCN","260.0","Vueling","Wizz Air Malta","","","","2024-11-21 21:50:00","2024-11-22 14:00:00","710.0","0","Thursday","evening","long","high","8.698451056467168e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","13:35","22:50","555","277.0","False","BOD","VIE","","","","","Vueling","Austrian Airlines","","","","2024-11-21 13:35:00","2024-11-21 22:50:00","","0","Thursday","afternoon","long","high","3.710325121351704e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","21:50","14:15+1","985","279.0","False","BOD","VIE","","","","","easyJet","Ryanair","Standard","","","2024-11-21 21:50:00","2024-11-22 14:15:00","","0","Thursday","evening","long","high","3.1364720598076883e+17"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","13:35","23:05","570","293.0","False","BOD","VIE","","","","","easyJet","Ryanair","","","","2024-11-21 13:35:00","2024-11-21 23:05:00","","0","Thursday","afternoon","long","high","7.80554387347835e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","09:05","21:45","760","303.0","False","BOD","VIE","","","","","Iberia","Wizz Air Malta","","","","2024-11-21 09:05:00","2024-11-21 21:45:00","","0","Thursday","morning","long","high","4.03433368289358e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","17:55","07:55+1","840","307.0","False","BOD","VIE","","","","","easyJet","Ryanair","","","","2024-11-21 17:55:00","2024-11-22 07:55:00","","0","Thursday","evening","long","high","4.0845753466430633e+18"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","11:30","23:05","695","313.0","False","BOD","VIE","","","","","Volotea","ITA Airways","","","","2024-11-21 11:30:00","2024-11-21 23:05:00","","0","Thursday","morning","long","high","1.612868489045878e+18"
