"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","18:10+1","1220","212.0","False","BOD","WAW","N/A","N/A","MXP","720.0","easyJet","Scandinavian Airlines","Standard","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 18:10:00","500.0","0","Thursday","evening","très_long","high","490705180417841083"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","15:50+1","1080","213.0","False","BOD","WAW","N/A","N/A","MXP","720.0","easyJet","Scandinavian Airlines","Standard","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 15:50:00","360.0","0","Thursday","evening","très_long","high","58739750958738199"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","10:40+1","770","231.0","False","BOD","WAW","N/A","N/A","MXP","720.0","easyJet","Scandinavian Airlines","Standard","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 10:40:00","50.0","0","Thursday","evening","très_long","high","3231989860555084995"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","12:55+1","905","278.0","False","BOD","WAW","N/A","N/A","MXP","720.0","easyJet","Scandinavian Airlines","N/A","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 12:55:00","185.0","0","Thursday","evening","très_long","high","3438220073189083501"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","11:40+1","830","316.0","False","BOD","WAW","N/A","N/A","N/A","","easyJet","ITA Airways","N/A","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 11:40:00","","0","Thursday","evening","très_long","high","7471947565149874400"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","14:20+1","990","318.0","False","BOD","WAW","N/A","N/A","MXP","720.0","easyJet","Scandinavian Airlines","N/A","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 14:20:00","270.0","0","Thursday","evening","très_long","high","1170184426620733096"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","13:20+1","930","327.0","False","BOD","WAW","N/A","N/A","N/A","","easyJet","Wizz Air","N/A","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 13:20:00","","0","Thursday","evening","très_long","high","4116122084659629312"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","13:20+1","930","345.0","False","BOD","WAW","N/A","N/A","N/A","","easyJet","Wizz Air Malta","N/A","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 13:20:00","","0","Thursday","evening","très_long","high","4116122084659629312"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:30","16:10+1","1120","353.0","False","BOD","WAW","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:30:00","2024-11-22 16:10:00","","0","Thursday","evening","très_long","high","5282594874199274949"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","21:50","15:40+1","1070","361.0","False","BOD","WAW","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 21:50:00","2024-11-22 15:40:00","","0","Thursday","evening","très_long","high","6227666384164605470"
"2024-11-21","2024-11-21","BOD","WAW","Varsovie","https://www.kayak.fr/flights/BOD-WAW/2024-11-21?sort=price_a","22:40","16:10+1","1050","372.0","False","BOD","WAW","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","43.9856039, -0.2364749","98.55","2024-11-21 14:46:44","2024-11-21 22:40:00","2024-11-22 16:10:00","","0","Thursday","night","très_long","high","4411009867597715161"
