"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","","","","","15:55","19:35","220","251.0","False","BOD","AMS","","","","","Air France","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","182533946518526024"
"","","","","","","13:50","20:50","420","420.0","False","BOD","AMS","","","BCN","95.0","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","325.0","","","","long","high","4109967575812910849"
"","","","","","","07:00","14:55","475","439.0","False","BOD","AMS","","","","","easyJet","Transavia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","3654927418945898205"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","15:55","21:40","345","240.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 15:55:00","2024-11-20 21:40:00","155.0","0.0","Wednesday","afternoon","moyen","high","2460470908507759078"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","18:20","285","439.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 13:35:00","2024-11-20 18:20:00","95.0","0.0","Wednesday","afternoon","moyen","high","3675514378871023400"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","21:40","485","440.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 13:35:00","2024-11-20 21:40:00","295.0","0.0","Wednesday","afternoon","long","high","101650716098398947"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","19:35","360","604.0","False","BOD","AMS","N/A","N/A","CDG","190.0","Air France","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 13:35:00","2024-11-20 19:35:00","170.0","0.0","Wednesday","afternoon","moyen","high","625155015724648627"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:25","22:15","230","654.0","False","BOD","AMS","N/A","N/A","N/A","","Lufthansa","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 18:25:00","2024-11-20 22:15:00","","0.0","Wednesday","evening","moyen","high","2529041202401206631"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","721.0","True","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","7205387788309429207"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","722.0","True","BOD","AMS","N/A","N/A","N/A","","KLM","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","4701868639125397569"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","14:50","19:50","300","1092.0","False","BOD","AMS","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","-37.8364908, 77.5541729591024","12045.2","2024-11-20 14:50:00","2024-11-20 19:50:00","","0.0","Wednesday","afternoon","moyen","high","9196793243393953483"
"","","N/A","N/A","N/A","N/A","13:35","20:20","405","147.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","Économique","44.837789, -0.57918","","","","","220.0","","","","long","high","8409668305509142541"
"","","N/A","N/A","N/A","N/A","11:30","19:35","485","215.0","False","BOD","AMS","N/A","N/A","BCN","185.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","300.0","","","","long","high","3641245877166710474"
"","","N/A","N/A","N/A","N/A","12:40","20:35","475","218.0","False","BOD","AMS","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8564549081043121178"
