"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","","","","","19:00","23:05","245.0","181.0","False","BOD","BCN","","","","","easyJet","Vueling","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","6180741942139963817"
"","","","","","","19:15","00:30+1","315.0","181.0","False","BOD","BCN","","","","","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","9025846126539435735"
"","","","","","","09:05","14:30","325.0","193.0","False","BOD","BCN","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","3557894317266014625"
"","","","","","","14:55","19:15","260.0","573.0","False","BOD","BCN","","","","","SWISS","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","6981581677898929405"
"","","","","","","18:00","23:05","305.0","854.0","False","BOD","BCN","","","TLS","124.0","SNCF","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","181.0","","","","moyen","high","8784733223012278033"
"","","","","","","06:00","11:10","310.0","870.0","False","BOD","BCN","","","","","Air France","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","7802740004931965591"
"2024-11-20","2024-11-29","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-29?sort=price_a","","","","641.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","9.0","Friday","","","high","5083974834780249521"
"2024-11-20","2024-11-30","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-11-30?sort=price_a","","","","232.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","10.0","Saturday","","","high","3905088786703021515"
"2024-11-20","2024-12-03","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-12-03?sort=price_a","","","","641.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","13.0","Tuesday","","","high","8376970668218356831"
"2024-11-20","2024-12-07","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-12-07?sort=price_a","","","","408.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","17.0","Saturday","","","high","6201948472510198982"
"2024-11-20","2024-12-09","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-12-09?sort=price_a","","","","251.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","19.0","Monday","","","high","7051742351498778364"
"2024-11-20","2024-12-10","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-12-10?sort=price_a","","","","554.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","20.0","Tuesday","","","high","1346889856946255869"
"2024-11-20","2024-12-11","BOD","BCN","Barcelone","https://www.kayak.fr/flights/BOD-BCN/2024-12-11?sort=price_a","","","","190.0","True","BOD","BCN","","","","","","","","44.837789, -0.57918","47.0539707, 0.5864762","262.38","","","","21.0","Wednesday","","","high","5866921912512610154"
"","","N/A","N/A","N/A","N/A","13:35","14:50","75.0","54.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","","","","court","cheap","2290099246509777776"
"","","N/A","N/A","N/A","N/A","13:20","21:27","487.0","138.0","True","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","","","","long","standard","3296805395080446805"
"","","N/A","N/A","N/A","N/A","17:55","23:50","355.0","156.0","False","BOD","BCN","N/A","N/A","N/A","","Vueling","N/A","Économique","44.837789, -0.57918","","","","","","","","","moyen","high","1559988557773838209"
