"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","N/A","N/A","N/A","N/A","18:35","21:25","230","206.0","False","BOD","LHR","N/A","N/A","CDG","60.0","Air France","N/A","N/A","44.837789, -0.57918","","","","","170.0","","","","moyen","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","15:55","21:25","390","215.0","False","BOD","LHR","N/A","N/A","CDG","60.0","Air France","N/A","N/A","44.837789, -0.57918","","","","","330.0","","","","long","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","17:55","22:00","305","392.0","False","BOD","LHR","N/A","N/A","CDG","60.0","Air France","N/A","N/A","44.837789, -0.57918","","","","","245.0","","","","moyen","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","20:20","21:00","100","576.0","True","BOD","LGW","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","","","","","","","court","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","18:25","22:15","290","619.0","False","BOD","LHR","N/A","N/A","N/A","","Lufthansa","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","8016032303647854690"
"","","N/A","N/A","N/A","N/A","13:35","18:45","370","150.0","False","BOD","LGW","N/A","N/A","BCN","155.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","215.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","13:35","18:45","370","151.0","False","BOD","STN","N/A","N/A","BCN","155.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","215.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","15:45","21:15","390","158.0","False","BOD","LTN","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","11:30","16:20","350","177.0","False","BOD","LCY","N/A","N/A","BCN","155.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","195.0","","","","moyen","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","15:45","19:15","270","187.0","False","BOD","LGW","N/A","N/A","BCN","155.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","115.0","","","","moyen","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","17:00","21:45","345","187.0","False","BOD","LGW","N/A","N/A","N/A","","Volotea","easyJet","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","777047632424612489"
"","","N/A","N/A","N/A","N/A","13:35","20:15","460","190.0","False","BOD","LGW","N/A","N/A","BCN","155.0","Vueling","N/A","N/A","44.837789, -0.57918","","","","","305.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","12:40","19:30","470","220.0","False","BOD","LGW","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","12:40","19:20","460","225.0","False","BOD","LHR","N/A","N/A","N/A","","easyJet","Eurowings","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","14:50","21:25","455","240.0","False","BOD","LHR","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","13:35","20:05","450","252.0","False","BOD","LHR","N/A","N/A","BCN","145.0","Vueling","Ryanair","N/A","44.837789, -0.57918","","","","","305.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","17:00","23:25","445","270.0","False","BOD","STN","N/A","N/A","BCN","145.0","Vueling","Ryanair","N/A","44.837789, -0.57918","","","","","300.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","18:35","21:25","230","290.0","False","BOD","LHR","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","15:55","21:25","390","305.0","False","BOD","LHR","N/A","N/A","BCN","145.0","Vueling","Ryanair","N/A","44.837789, -0.57918","","","","","245.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","09:05","13:50","345","317.0","False","BOD","LGW","N/A","N/A","BCN","145.0","Vueling","Ryanair","N/A","44.837789, -0.57918","","","","","200.0","","","","moyen","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","16:20","22:15","415","158.0","False","BOD","LTN","N/A","N/A","LYS","240.0","easyJet","N/A","N/A","44.837789, -0.57918","","","","","175.0","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","13:55","14:35","100","178.0","True","BOD","LGW","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","court","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","09:45","13:40","295","180.0","False","BOD","LGW","N/A","N/A","LYS","240.0","easyJet","N/A","N/A","44.837789, -0.57918","","","","","55.0","","","","moyen","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","09:45","15:40","415","180.0","False","BOD","LTN","N/A","N/A","LYS","240.0","easyJet","N/A","N/A","44.837789, -0.57918","","","","","175.0","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","16:20","22:05","405","186.0","False","BOD","LGW","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","18:15","23:50","395","192.0","False","BOD","STN","N/A","N/A","LYS","240.0","easyJet","N/A","N/A","44.837789, -0.57918","","","","","155.0","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","09:45","15:50","425","205.0","False","BOD","STN","N/A","N/A","N/A","","Vueling","Ryanair","N/A","44.837789, -0.57918","","","","","","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","07:00","12:00","360","208.0","False","BOD","LTN","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","20:40","21:20","100","217.0","True","BOD","LGW","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","court","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","12:15","19:05","470","217.0","False","BOD","LGW","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","12:50","17:55","365","227.0","False","BOD","STN","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","18:35","21:25","230","229.0","False","BOD","LHR","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","15:55","21:25","390","229.0","False","BOD","LHR","N/A","N/A","N/A","","Air France","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","3770252487776934686"
"","","N/A","N/A","N/A","N/A","09:45","15:45","420","240.0","False","BOD","LGW","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","09:45","15:00","375","268.0","False","BOD","LHR","N/A","N/A","N/A","","Vueling","British Airways","N/A","44.837789, -0.57918","","","","","","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","11:58","19:25","507","102.0","False","BOD","LGW","N/A","N/A","N/A","","SNCF","Vueling","N/A","44.837789, -0.57918","","","","","","","","","long","standard","1169363462660448522"
"","","N/A","N/A","N/A","N/A","21:45","08:20+1","695","102.0","False","BOD","STN","N/A","N/A","N/A","","SNCF","Vueling","N/A","44.837789, -0.57918","","","","","","","","","long","standard","1169363462660448522"
"","","N/A","N/A","N/A","N/A","21:45","09:55+1","790","102.0","False","BOD","LGW","N/A","N/A","N/A","","SNCF","Vueling","N/A","44.837789, -0.57918","","","","","","","","","long","standard","1169363462660448522"
