"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","","","","","18:35","23:05","270.0","196.0","False","BOD","MAD","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","1720318972196767512"
"","","","","","","18:00","23:25","325.0","853.0","False","BOD","MAD","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","1339523052425008649"
"","","","","","","13:35","20:20","405.0","216.0","False","BOD","MAD","","","","","Vueling","Iberia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","7872424716513655422"
"","","","","","","14:55","20:55","360.0","278.0","False","BOD","MAD","","","","","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","8208507862032688817"
"","","","","","","11:30","17:20","350.0","294.0","False","BOD","MAD","","","","","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","2968248998447068873"
"","","","","","","11:30","17:10","340.0","347.0","False","BOD","MAD","","","","","Volotea","Air Europa","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","5734676169943326715"
"","","","","","","13:35","17:45","250.0","370.0","False","BOD","MAD","","","","","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","6010203028155923110"
"","","","","","","10:50","17:20","390.0","184.0","False","BOD","MAD","","","","","easyJet","Iberia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","1694637600459488105"
"","","","","","","16:20","22:55","395.0","240.0","False","BOD","MAD","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","5809008089318335583"
"","","","","","","17:40","23:59","379.0","252.0","False","BOD","MAD","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","2061705771967649196"
"","","","","","","10:50","17:10","380.0","266.0","False","BOD","MAD","","","","","easyJet","ITA Airways","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","3310994780722711512"
"","","","","","","19:45","01:10+1","325.0","280.0","False","BOD","MAD","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","6704198012059205741"
"","","","","","","13:35","18:45","310.0","335.0","False","BOD","MAD","","","","","easyJet","Ryanair","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","8010409532821213322"
"","","","","","","08:50","14:40","350.0","200.0","False","BOD","MAD","","","","","easyJet","Vueling","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","7876192576159251428"
"","","","","","","10:05","14:30","265.0","468.0","False","BOD","MAD","","","","","Vueling","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","5710036396499040900"
"","","","","","","10:40","15:25","285.0","628.0","False","BOD","MAD","","","","","Vueling","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","6698089407666708584"
"","","","","","","06:00","12:15","375.0","634.0","False","BOD","MAD","","","","","Vueling","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","1920354889592921114"
"","","","","","","06:00","12:15","375.0","661.0","False","BOD","MAD","","","","","Air France","KLM","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","8567243267080438745"
"","","","","","","18:00","22:30","270.0","184.0","True","BOD","MAD","","","","","Vueling","Iberia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","3610671816450474689"
"","","","","","","18:00","22:00","240.0","201.0","True","BOD","MAD","","","","","Iberia","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","3966035734289923710"
"","","","","","","14:20","20:50","390.0","214.0","True","BOD","MAD","","","","","easyJet","Iberia","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","4352500554262975448"
"","","","","","","14:10","19:35","325.0","216.0","True","BOD","MAD","","","","","easyJet","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","1834171856793378905"
"","","","","","","17:50","00:10+1","380.0","216.0","True","BOD","MAD","","","","","Iberia","","Basic","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","5993947283106089963"
"","","","","","","17:50","22:55","305.0","219.0","True","BOD","MAD","","","","","Iberia","","Basic","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","4206428992134359505"
