"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","","","","","11:30","13:35","125","89.0","True","BOD","FCO","","","","","Volotea","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","standard","8363079172150112905"
"","","","","","","13:35","23:10","575","133.0","False","BOD","FCO","","","","","Volotea","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","6293623723902172872"
"","","","","","","11:30","16:20","290","140.0","False","BOD","FCO","","","","","Volotea","","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","3486998245059244348"
"","","","","","","13:35","18:05","270","149.0","False","BOD","FCO","","","","","Volotea","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","moyen","high","4763460398764059008"
"","","","","","","17:55","00:55+1","420","156.0","False","BOD","FCO","","","","","Iberia","Wizz Air Malta","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","3733867458597442807"
"","","","","","","17:55","00:15+1","380","203.0","False","BOD","FCO","","","","","Volotea","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","2913339073121490874"
"","","","","","","12:40","19:50","430","231.0","False","BOD","FCO","","","","","easyJet","","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","7655811725290426265"
"","","","","","","12:40","20:45","485","248.0","False","BOD","FCO","","","","","easyJet","Ryanair","","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","","","","","long","high","1219472604660126194"
"","","","","","","09:05","17:25","500","253.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","115.0","","","","long","high","9104851310278063707"
"","","","","","","09:05","15:30","385","257.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","43.7003749, -0.4230237","127.0","","","0.0","","","","long","high","4835616037334013378"
