"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","05:58","15:45","947","1368.0","False","BOD","YUL","0","0","CDG","259.0","Volotea","Royal Air Maroc","Flex","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 05:58:00","2024-11-22 15:45:00","688.0","0","Friday","morning","long","high","8723328572085910666"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","18:35","965","694.0","False","BOD","YUL","0","0","MAD","180.0","Volotea","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 08:30:00","2024-11-22 18:35:00","785.0","0","Friday","morning","long","cheap","3108300276758146567"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","18:35","930","839.0","False","BOD","YUL","N/A","N/A","BCN","215.0","Iberia","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 18:35:00","715.0","0","Friday","morning","long","standard","8630878178252871464"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:45","20:15","990","863.0","False","BOD","YUL","N/A","N/A","MAD","180.0","Volotea","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:45:00","2024-11-22 20:15:00","810.0","0","Friday","morning","long","standard","2141243895544666650"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","20:15","1065","790.0","False","BOD","YUL","N/A","N/A","BCN","70.0","Volotea","TAP AIR PORTUGAL","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 08:30:00","2024-11-22 20:15:00","995.0","0","Friday","morning","long","cheap","4464204887104911335"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","18:20","950","1418.0","False","BOD","YUL","1","N/A","CDG","259.0","Air Canada","N/A","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 08:30:00","2024-11-22 18:20:00","691.0","0","Friday","morning","long","high","8825643468713915603"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","18:20","915","1425.0","False","BOD","YUL","1","N/A","MAD","295.0","Air Canada","N/A","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 18:20:00","620.0","0","Friday","morning","long","high","5587615012272118555"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","20:15","1030","1086.0","False","BOD","YUL","N/A","N/A","MAD","125.0","Air Canada","N/A","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 20:15:00","905.0","0","Friday","morning","long","standard","6869729496826603634"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","19:05","960","2233.0","False","BOD","YUL","N/A","N/A","MAD","100.0","Air Canada","N/A","Basic","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 19:05:00","860.0","0","Friday","morning","long","high","6169752450543341734"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","19:05","960","2248.0","False","BOD","YUL","N/A","N/A","MAD","265.0","British Airways","N/A","Basic","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 19:05:00","695.0","0","Friday","morning","long","high","4035039917828289997"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","10:50","15:25","635","2738.0","False","BOD","YUL","0","0","MAD","80.0","Volotea","Royal Air Maroc","Basic","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 10:50:00","2024-11-22 15:25:00","555.0","0","Friday","morning","long","high","2630605878845060059"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","06:00","12:15","735","2659.0","False","BOD","YUL","N/A","N/A","N/A","","Air France","N/A","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 06:00:00","2024-11-22 12:15:00","","0","Friday","morning","long","high","999575032575155865"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","19:05","960","2291.0","False","BOD","YUL","N/A","N/A","CDG","75.0","Volotea","Royal Air Maroc","Premium Select","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 19:05:00","885.0","0","Friday","morning","long","high","2801074380263060346"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","19:05","960","2291.0","False","BOD","YUL","N/A","N/A","MAD","80.0","Iberia","British Airways","Basic","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:05:00","2024-11-22 19:05:00","880.0","0","Friday","morning","long","high","2112314290940256611"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:45","19:05","920","2432.0","False","BOD","YUL","N/A","N/A","MAD","175.0","Iberia","N/A","Basic Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:45:00","2024-11-22 19:05:00","745.0","0","Friday","morning","long","high","6697885038655783884"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:45","19:05","920","2149.0","False","BOD","YUL","0","0","BCN","215.0","Vueling","TAP AIR PORTUGAL","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 09:45:00","2024-11-22 19:05:00","705.0","0","Friday","morning","long","high","2197973959238919046"
