"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2025-04-20","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2025-04-20?sort=price_a","17:10","22:00","290","233.0","False","BOD","BER","","","","","KLM","","","","","2025-04-20 17:10:00","2025-04-20 22:00:00","","150","Sunday","evening","moyen","high",""
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","12:40","15:00","140","83.0","True","BOD","BER","","","","","easyJet","","Standard","","","2024-11-21 12:40:00","2024-11-21 15:00:00","","0","Thursday","afternoon","moyen","cheap","8.228172235251566e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","11:30","20:05","515","266.0","False","BOD","BER","","","","","Volotea","Eurowings","","","","2024-11-21 11:30:00","2024-11-21 20:05:00","","0","Thursday","morning","long","high","3.5567597529065467e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:40","545","267.0","False","BOD","BER","","","","","easyJet","","","","","2024-11-21 13:35:00","2024-11-21 22:40:00","","0","Thursday","afternoon","long","high","4.729725801461169e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","09:05","14:55","350","295.0","False","BOD","BER","","","BCN","180.0","Vueling","","Économique","","","2024-11-21 09:05:00","2024-11-21 14:55:00","170.0","0","Thursday","morning","moyen","high","1.4659171855310264e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:50","17:50","240","297.0","False","BOD","BER","","","BCN","180.0","Vueling","","Économique","","","2024-11-21 13:50:00","2024-11-21 17:50:00","60.0","0","Thursday","afternoon","moyen","high","3.988783665718757e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","17:55","23:10","315","314.0","False","BOD","BER","","","BCN","180.0","Vueling","","","","","2024-11-21 17:55:00","2024-11-21 23:10:00","135.0","0","Thursday","evening","moyen","high","7.080738999714127e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","12:30","20:30","480","318.0","False","BOD","BER","","","","","easyJet","","","","","2024-11-21 12:30:00","2024-11-21 20:30:00","","0","Thursday","afternoon","long","high","8.770023815938114e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","18:35","22:40","245","321.0","False","BOD","BER","","","BCN","180.0","Vueling","","","","","2024-11-21 18:35:00","2024-11-21 22:40:00","65.0","0","Thursday","evening","moyen","high","1.1336685404194332e+18"
"2024-11-21","2024-11-21","BOD","BER","Berlin","https://www.kayak.fr/flights/BOD-BER/2024-11-21?sort=price_a","13:35","22:25","530","322.0","False","BOD","BER","","","","","Vueling","easyJet","","","","2024-11-21 13:35:00","2024-11-21 22:25:00","","0","Thursday","afternoon","long","high","1.5831090360348905e+18"
