"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-20","2024-11-27","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-27?sort=price_a","18:25","22:15","230","321.0","False","BOD","AMS","","","","","Lufthansa","","","","","2024-11-27 18:25:00","2024-11-27 22:15:00","","7.0","Wednesday","evening","moyen","high",""
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","15:55","21:40","345","240.0","False","BOD","AMS","","","CDG","190.0","Air France","","","","","2024-11-20 15:55:00","2024-11-20 21:40:00","155.0","0.0","Wednesday","afternoon","moyen","high","8.920201510977735e+18"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","13:35","19:35","360","604.0","False","BOD","AMS","","","CDG","190.0","Air France","","","","","2024-11-20 13:35:00","2024-11-20 19:35:00","170.0","0.0","Wednesday","afternoon","moyen","high","8.99641725496311e+18"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:25","22:15","230","654.0","False","BOD","AMS","","","","","Lufthansa","","","","","2024-11-20 18:25:00","2024-11-20 22:15:00","","0.0","Wednesday","evening","moyen","high","1.801891172026984e+18"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","721.0","True","BOD","AMS","","","","","Air France","","","","","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","6.144727677784168e+17"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","18:00","19:55","115","722.0","True","BOD","AMS","","","","","KLM","","","","","2024-11-20 18:00:00","2024-11-20 19:55:00","","0.0","Wednesday","evening","court","high","2.529383841998233e+18"
"2024-11-20","2024-11-20","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-20?sort=price_a","14:50","19:50","300","","False","BOD","AMS","","","","","Air France","","","","","2024-11-20 14:50:00","2024-11-20 19:50:00","","0.0","Wednesday","afternoon","moyen","cheap","8.294123661738111e+18"
"","","","","","","11:30","19:35","485","215.0","False","BOD","AMS","","","BCN","185.0","Vueling","","","","","","","300.0","","","","long","high","3.309454068567513e+18"
"","","","","","","12:40","20:35","475","218.0","False","BOD","AMS","","","","","easyJet","","","","","","","","","","","long","high","1.351845285965371e+18"
"","","","","","","15:55","21:40","345","249.0","False","BOD","AMS","","","BCN","185.0","Vueling","","","","","","","160.0","","","","moyen","high","1.3836516659668765e+17"
"","","","","","","15:55","19:35","220","251.0","False","BOD","AMS","","","","","Air France","","","","","","","","","","","moyen","high","2.021127132312084e+18"
"","","","","","","19:00","23:40","280","297.0","False","BOD","AMS","","","","","easyJet","Transavia","","","","","","","","","","moyen","high","9.077306025038218e+18"
"","","","","","","06:00","13:00","420","363.0","False","BOD","AMS","","","BCN","95.0","Vueling","","Économique","","","","","325.0","","","","long","high","7.538417488072733e+18"
"","","","","","","13:35","20:25","410","379.0","False","BOD","AMS","","","BCN","95.0","Vueling","","","","","","","315.0","","","","long","high","9.04910870730489e+18"
"","","","","","","13:50","19:15","325","420.0","False","BOD","AMS","","","","","easyJet","KLM","","","","","","","","","","moyen","high","3.2375266856323046e+17"
"","","","","","","13:50","20:50","420","420.0","False","BOD","AMS","","","BCN","95.0","Vueling","","","","","","","325.0","","","","long","high","3.2729639090643963e+18"
"","","","","","","07:00","14:55","475","439.0","False","BOD","AMS","","","","","easyJet","Transavia","","","","","","","","","","long","high","2.269916444119716e+18"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","09:45","15:55","370","179.0","False","BOD","AMS","","","BCN","145.0","Vueling","","Économique","","","2024-11-22 09:45:00","2024-11-22 15:55:00","225.0","2.0","Friday","morning","long","high","2.6373329940800835e+18"
"2024-11-20","2024-11-22","BOD","AMS","Amsterdam","https://www.kayak.fr/flights/BOD-AMS/2024-11-22?sort=price_a","13:35","20:50","435","208.0","False","BOD","AMS","","","BCN","145.0","Vueling","","Économique","","","2024-11-22 13:35:00","2024-11-22 20:50:00","290.0","2.0","Friday","afternoon","long","high","8.013428374461002e+18"
