"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","16:58","22:43","345","85.0","True","BOD","BRU","","","","","SNCF","","","","","2024-11-21 16:58:00","2024-11-21 22:43:00","","0","Thursday","afternoon","moyen","cheap","3565667056175791676"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","13:35","21:45","490","173.0","False","BOD","BRU","","","","","SNCF","","","","","2024-11-21 13:35:00","2024-11-21 21:45:00","","0","Thursday","afternoon","long","high","4150101608231914288"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:30","08:00+1","630","205.0","False","BOD","BRU","","","","","SNCF","","","","","2024-11-21 21:30:00","2024-11-22 08:00:00","","0","Thursday","evening","long","high","2687061344003944423"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","07:35+1","815","246.0","False","BOD","BRU","","","","","KLM","","","","","2024-11-21 18:00:00","2024-11-22 07:35:00","","0","Thursday","evening","long","high","7205532634538817642"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","10:10+1","970","252.0","False","BOD","BRU","","","","","SNCF","","","","","2024-11-21 18:00:00","2024-11-22 10:10:00","","0","Thursday","evening","long","high","4521096656848082337"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","22:35","245","264.0","False","BOD","BRU","","","","","Lufthansa","","","","","2024-11-21 18:30:00","2024-11-21 22:35:00","","0","Thursday","evening","moyen","high","3612002193432219260"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","14:55","19:10","255","264.0","False","BOD","BRU","","","","","SWISS","","","","","2024-11-21 14:55:00","2024-11-21 19:10:00","","0","Thursday","afternoon","moyen","high","6789600699298859447"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","17:55","08:10+1","855","278.0","False","BOD","BRU","","","BCN","285.0","Vueling","","Économique","","","2024-11-21 17:55:00","2024-11-22 08:10:00","570.0","0","Thursday","evening","long","high","7719751047004210265"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","19:00","08:10+1","790","283.0","False","BOD","BRU","","","BCN","285.0","Vueling","","Économique","","","2024-11-21 19:00:00","2024-11-22 08:10:00","505.0","0","Thursday","evening","long","high","9034708681451238727"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:50","13:50+1","960","290.0","False","BOD","BRU","","","BCN","285.0","Vueling","","","","","2024-11-21 21:50:00","2024-11-22 13:50:00","675.0","0","Thursday","evening","long","high","5660226723956926817"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","17:55","10:05+1","970","294.0","False","BOD","CRL","","","","","Iberia","Ryanair","","","","2024-11-21 17:55:00","2024-11-22 10:05:00","","0","Thursday","evening","long","high","780331017024907769"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","09:50+1","920","296.0","False","BOD","BRU","","","BCN","285.0","Vueling","","","","","2024-11-21 18:30:00","2024-11-22 09:50:00","635.0","0","Thursday","evening","long","high","752908602997857228"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:50","08:35+1","645","297.0","False","BOD","BRU","","","","","easyJet","ITA Airways","","","","2024-11-21 21:50:00","2024-11-22 08:35:00","","0","Thursday","evening","long","high","8288967578864384710"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","05:18","12:11","413","104.0","True","BOD","BRU","","","","","SNCF","","","","","2024-11-22 05:18:00","2024-11-22 12:11:00","","1","Friday","morning","long","standard","5049049679983797965"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","18:00","495","171.0","False","BOD","BRU","","","","","SNCF","","","","","2024-11-22 09:45:00","2024-11-22 18:00:00","","1","Friday","morning","long","high","1700311614405444914"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","17:40","08:20+1","880","174.0","False","BOD","BRU","","","","","SNCF","","","","","2024-11-22 17:40:00","2024-11-23 08:20:00","","1","Friday","evening","long","high","8759548110231693819"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","12:50","22:10","560","179.0","False","BOD","CRL","","","","","Volotea","Ryanair","","","","2024-11-22 12:50:00","2024-11-22 22:10:00","","1","Friday","afternoon","long","high","1799063499055163628"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","07:00","19:50","770","193.0","False","BOD","BRU","","","","","SNCF","","","","","2024-11-22 07:00:00","2024-11-22 19:50:00","","1","Friday","morning","long","high","5211137945104419028"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","10:50","19:50","540","197.0","False","BOD","BRU","","","","","easyJet","Scandinavian Airlines","","","","2024-11-22 10:50:00","2024-11-22 19:50:00","","1","Friday","morning","long","high","8966996022392919235"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","17:25","460","204.0","False","BOD","BRU","","","NCE","355.0","easyJet","","Standard","","","2024-11-22 09:45:00","2024-11-22 17:25:00","105.0","1","Friday","morning","long","high","2943997244966755333"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","17:45","09:00+1","915","229.0","False","BOD","BRU","","","NCE","355.0","easyJet","","Standard","","","2024-11-22 17:45:00","2024-11-23 09:00:00","560.0","1","Friday","evening","long","high","2167576360389216204"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","17:40","08:45+1","905","233.0","False","BOD","CRL","","","NCE","355.0","easyJet","","Standard","","","2024-11-22 17:40:00","2024-11-23 08:45:00","550.0","1","Friday","evening","long","high","586859109589787388"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","19:45","08:35+1","770","237.0","False","BOD","BRU","","","NCE","355.0","easyJet","","","","","2024-11-22 19:45:00","2024-11-23 08:35:00","415.0","1","Friday","evening","long","high","1413212431366960775"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","20:40","655","242.0","False","BOD","CRL","","","","","Vueling","Ryanair","","","","2024-11-22 09:45:00","2024-11-22 20:40:00","","1","Friday","morning","long","high","7794787436244896637"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","08:30","14:55","385","254.0","False","BOD","CRL","","","NCE","355.0","easyJet","","","","","2024-11-22 08:30:00","2024-11-22 14:55:00","30.0","1","Friday","morning","long","high","2886794627681173166"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","21:50","10:25+1","755","259.0","False","BOD","BRU","","","","","Tunisair","","","","","2024-11-22 21:50:00","2024-11-23 10:25:00","","1","Friday","evening","long","high","4657779630335973947"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","16:58","22:43","345","79.0","True","BOD","BRU","","","","","SNCF","","","","","2024-11-23 16:58:00","2024-11-23 22:43:00","","2","Saturday","afternoon","moyen","cheap","8395013343712267569"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","12:55+1","910","165.0","False","BOD","CRL","","","CDG","26.0","SNCF","","","","","2024-11-23 21:45:00","2024-11-24 12:55:00","884.0","2","Saturday","evening","long","high","7687674781306916657"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","06:45","18:20","695","166.0","False","BOD","ANR","","","","","Volotea","TUI Fly Belgium","","","","2024-11-23 06:45:00","2024-11-23 18:20:00","","2","Saturday","morning","long","high","911944239465404321"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","13:05+1","920","199.0","False","BOD","BRU","","","BCN","470.0","Vueling","","Économique","","","2024-11-23 21:45:00","2024-11-24 13:05:00","450.0","2","Saturday","evening","long","high","5997489333834291730"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","06:45","16:30","585","206.0","False","BOD","CRL","","","BCN","470.0","Vueling","","Économique","","","2024-11-23 06:45:00","2024-11-23 16:30:00","115.0","2","Saturday","morning","long","high","184261028651046327"
