"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","22:40","12:00+1","800","371.0","False","BOD","BUD","","","","","easyJet","Lufthansa","","","","2024-11-21 22:40:00","2024-11-22 12:00:00","","0","Thursday","night","long","high","7748579399467900394"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","14:55","22:45","470","429.0","False","BOD","BUD","","","MXP","550.0","easyJet","Wizz Air","Standard","","","2024-11-21 14:55:00","2024-11-21 22:45:00","","0","Thursday","afternoon","long","high","946717154003315945"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","18:30","09:40+1","910","435.0","False","BOD","BUD","","","MXP","550.0","easyJet","Wizz Air","","","","2024-11-21 18:30:00","2024-11-22 09:40:00","360.0","0","Thursday","evening","long","high","3976897426473261856"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","21:50","10:25+1","755","445.0","False","BOD","BUD","","","","","easyJet","Austrian Airlines","","","","2024-11-21 21:50:00","2024-11-22 10:25:00","","0","Thursday","evening","long","high","3750008555841256653"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","20:10","11:00+1","890","501.0","False","BOD","BUD","","","MXP","550.0","easyJet","Wizz Air","","","","2024-11-21 20:10:00","2024-11-22 11:00:00","340.0","0","Thursday","evening","long","high","5517883909534652419"
"2024-11-21","2024-11-21","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-21?sort=price_a","18:30","23:20","290","598.0","False","BOD","BUD","","","","","Lufthansa","","","","","2024-11-21 18:30:00","2024-11-21 23:20:00","","0","Thursday","evening","moyen","high","3461056805076302742"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","12:45","20:30","465","144.0","False","BOD","BUD","","","BSL","480.0","easyJet","","Standard","","","2024-11-22 12:45:00","2024-11-22 20:30:00","","1","Friday","afternoon","long","cheap","6062543753138037259"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","21:35","14:20+1","1005","154.0","False","BOD","BUD","","","BSL","480.0","easyJet","","","","","2024-11-22 21:35:00","2024-11-23 14:20:00","525.0","1","Friday","evening","long","cheap","5050946444061864324"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","19:45","00:20+1","275","165.0","False","BOD","BUD","","","BSL","480.0","easyJet","","","","","2024-11-22 19:45:00","2024-11-23 00:20:00","","1","Friday","evening","moyen","standard","2982445754939081565"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","17:40","10:35+1","1015","174.0","False","BOD","BUD","","","","","Volotea","Ryanair","","","","2024-11-22 17:40:00","2024-11-23 10:35:00","","1","Friday","evening","long","standard","5680470379244859133"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","08:30","23:35","905","192.0","False","BOD","BUD","","","","","Volotea","Wizz Air","","","","2024-11-22 08:30:00","2024-11-22 23:35:00","","1","Friday","morning","long","high","833197330133131155"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","09:05","23:35","870","198.0","False","BOD","BUD","","","BSL","275.0","easyJet","","Standard","","","2024-11-22 09:05:00","2024-11-22 23:35:00","595.0","1","Friday","morning","long","high","7569032363294705349"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","20:10","11:00+1","890","199.0","False","BOD","BUD","","","BSL","275.0","easyJet","","Standard","","","2024-11-22 20:10:00","2024-11-23 11:00:00","615.0","1","Friday","evening","long","high","6891516536036759904"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","09:45","00:20+1","875","206.0","False","BOD","BUD","","","BSL","275.0","easyJet","","","","","2024-11-22 09:45:00","2024-11-23 00:20:00","600.0","1","Friday","morning","long","high","6877105999180046047"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","10:50","22:30","700","209.0","False","BOD","BUD","","","","","easyJet","Wizz Air","","","","2024-11-22 10:50:00","2024-11-22 22:30:00","","1","Friday","morning","long","high","8346016618794987799"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","07:00","15:55","535","211.0","False","BOD","BUD","","","BSL","275.0","easyJet","","","","","2024-11-22 07:00:00","2024-11-22 15:55:00","260.0","1","Friday","morning","long","high","6237018839671473804"
"2024-11-21","2024-11-22","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-22?sort=price_a","09:45","00:20+1","875","215.0","False","BOD","BUD","","","","","Vueling","Wizz Air","","","","2024-11-22 09:45:00","2024-11-23 00:20:00","","1","Friday","morning","long","high","118828622326618464"
"2024-11-21","2024-11-23","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-23?sort=price_a","17:55","10:30+1","995","205.0","False","BOD","BUD","","","BCN","1225.0","Vueling","Wizz Air","Économique","","","2024-11-23 17:55:00","2024-11-24 10:30:00","","2","Saturday","evening","long","high","6660886899275651937"
"2024-11-21","2024-11-23","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-23?sort=price_a","10:20","23:35","795","207.0","False","BOD","BUD","","","BCN","1225.0","Vueling","Wizz Air","Économique","","","2024-11-23 10:20:00","2024-11-23 23:35:00","","2","Saturday","morning","long","high","6942858630671520862"
"2024-11-21","2024-11-23","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-23?sort=price_a","17:55","23:40","345","214.0","False","BOD","BUD","","","","","Iberia","Ryanair","","","","2024-11-23 17:55:00","2024-11-23 23:40:00","","2","Saturday","evening","moyen","high","2339503006897807510"
"2024-11-21","2024-11-23","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-23?sort=price_a","21:45","12:30+1","885","216.0","False","BOD","BUD","","","","","Vueling","Ryanair","","","","2024-11-23 21:45:00","2024-11-24 12:30:00","","2","Saturday","evening","long","high","1040870574932342026"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","08:10","13:25","315","172.0","False","BOD","BUD","","","FCO","1100.0","Volotea","Wizz Air","Économique","","","2024-11-24 08:10:00","2024-11-24 13:25:00","","3","Sunday","morning","moyen","standard","1643353805448157981"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","12:10","23:30","680","186.0","False","BOD","BUD","","","FCO","1100.0","Volotea","Wizz Air","","","","2024-11-24 12:10:00","2024-11-24 23:30:00","","3","Sunday","afternoon","long","standard","6608338287813427292"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","15:35","08:05+1","990","189.0","False","BOD","BUD","","","FCO","1100.0","Volotea","Wizz Air","","","","2024-11-24 15:35:00","2024-11-25 08:05:00","","3","Sunday","afternoon","long","high","4511937945658094931"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","20:10","11:00+1","890","197.0","False","BOD","BUD","","","BER","90.0","easyJet","Ryanair","Standard","","","2024-11-24 20:10:00","2024-11-25 11:00:00","800.0","3","Sunday","evening","long","high","6058111048458321263"
"2024-11-21","2024-11-24","BOD","BUD","Budapest","https://www.kayak.fr/flights/BOD-BUD/2024-11-24?sort=price_a","18:00","10:05+1","965","200.0","False","BOD","BUD","","","BER","90.0","easyJet","Ryanair","Standard","","","2024-11-24 18:00:00","2024-11-25 10:05:00","875.0","3","Sunday","evening","long","high","4283618083287206183"
