"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2025-04-08","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2025-04-08?sort=price_a","13:40","23:05","625","114.0","False","BOD","DUB","","","","","Vueling","easyJet","","","","2025-04-08 13:40:00","2025-04-08 23:05:00","","138","Tuesday","afternoon","long","standard",""
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","15:25","16:25","120","100.0","True","BOD","DUB","","","","","Aer Lingus","","Saver","","","2024-11-21 15:25:00","2024-11-21 16:25:00","","0","Thursday","afternoon","court","cheap","3.089534989019516e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","18:35","22:50","315","227.0","False","BOD","DUB","","","","","Aer Lingus","","Saver","","","2024-11-21 18:35:00","2024-11-21 22:50:00","","0","Thursday","evening","moyen","high","7.548210197747906e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","09:05","16:10","485","299.0","False","BOD","DUB","","","","","Aer Lingus","","Saver","","","2024-11-21 09:05:00","2024-11-21 16:10:00","","0","Thursday","morning","long","high","6.854560034547103e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","17:55","22:10","315","337.0","False","BOD","DUB","","","","","Aer Lingus","","","","","2024-11-21 17:55:00","2024-11-21 22:10:00","","0","Thursday","evening","moyen","high","4.5281246148578094e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","14:50","22:50","540","364.0","False","BOD","DUB","","","","","Air France","","","","","2024-11-21 14:50:00","2024-11-21 22:50:00","","0","Thursday","afternoon","long","high","3.846038366173004e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","05:58","15:40","642","367.0","False","BOD","DUB","","","","","Aer Lingus","","","","","2024-11-21 05:58:00","2024-11-21 15:40:00","","0","Thursday","morning","long","high","1.6336289152173256e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","18:00","22:05","305","380.0","False","BOD","DUB","","","","","KLM","","","","","2024-11-21 18:00:00","2024-11-21 22:05:00","","0","Thursday","evening","moyen","high","9.425185187399582e+16"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","13:35","20:15","460","405.0","False","BOD","DUB","","","","","Vueling","Ryanair","","","","2024-11-21 13:35:00","2024-11-21 20:15:00","","0","Thursday","afternoon","long","high","7.301692217584306e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","15:55","22:50","475","432.0","False","BOD","DUB","","","CDG","120.0","Air France","","Light","","","2024-11-21 15:55:00","2024-11-21 22:50:00","355.0","0","Thursday","afternoon","long","high","3.152048230720906e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","13:50","21:35","525","503.0","False","BOD","DUB","","","CDG","120.0","Air France","","Light","","","2024-11-21 13:50:00","2024-11-21 21:35:00","405.0","0","Thursday","afternoon","long","high","7.032427469016743e+18"
"2024-11-21","2024-11-21","BOD","DUB","Dublin","https://www.kayak.fr/flights/BOD-DUB/2024-11-21?sort=price_a","06:00","12:40","460","608.0","False","BOD","DUB","","","CDG","120.0","Air France","","","","","2024-11-21 06:00:00","2024-11-21 12:40:00","340.0","0","Thursday","morning","long","high","355665722389686.0"
