"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-20","2024-12-13","BOD","MAD","Madrid","https://www.kayak.fr/flights/BOD-MAD/2024-12-13?sort=price_a","","","","160.0","True","BOD","MAD","","","","","","","","","","","","","23.0","Friday","","","high",""
"","","","","","","18:35","23:05","270.0","196.0","False","BOD","MAD","","","","","Iberia","","","","","","","","","","","moyen","high","8.876322134371843e+16"
"","","","","","","14:55","20:55","360.0","278.0","False","BOD","MAD","","","","","Vueling","","","","","","","","","","","moyen","high","7.381963844196135e+18"
"","","","","","","13:35","17:45","250.0","370.0","False","BOD","MAD","","","","","Vueling","","","","","","","","","","","moyen","high","9.04910870730489e+18"
"","","","","","","16:20","22:55","395.0","240.0","False","BOD","MAD","","","","","Iberia","","","","","","","","","","","long","high","4.837828806905901e+18"
"","","","","","","17:40","23:59","379.0","252.0","False","BOD","MAD","","","","","Iberia","","","","","","","","","","","long","high","3.913008068899261e+18"
"","","","","","","10:50","17:10","380.0","266.0","False","BOD","MAD","","","","","easyJet","ITA Airways","","","","","","","","","","long","high","5.636430527699711e+18"
"","","","","","","19:45","01:10+1","325.0","280.0","False","BOD","MAD","","","","","Iberia","","","","","","","","","","","moyen","high","2.998563324369339e+17"
"","","","","","","13:35","18:45","310.0","335.0","False","BOD","MAD","","","","","easyJet","Ryanair","","","","","","","","","","moyen","high","2.5702266855118515e+18"
"","","","","","","08:50","14:40","350.0","200.0","False","BOD","MAD","","","","","easyJet","Vueling","","","","","","","","","","moyen","high","6.271628974751369e+17"
"","","","","","","10:05","14:30","265.0","468.0","False","BOD","MAD","","","","","Vueling","","Économique","","","","","","","","","moyen","high","1.9753361816814643e+17"
"","","","","","","18:00","22:30","270.0","184.0","True","BOD","MAD","","","","","Vueling","Iberia","","","","","","","","","","moyen","high","8.562626983090151e+18"
"","","","","","","18:00","22:00","240.0","201.0","True","BOD","MAD","","","","","Iberia","","","","","","","","","","","moyen","high","3.950034579043266e+18"
"","","","","","","14:20","20:50","390.0","214.0","True","BOD","MAD","","","","","easyJet","Iberia","","","","","","","","","","long","high","2.866553640670501e+18"
"","","","","","","14:10","19:35","325.0","216.0","True","BOD","MAD","","","","","easyJet","","","","","","","","","","","moyen","high","2.706665013395115e+18"
"","","","","","","17:50","23:10","320.0","244.0","True","BOD","MAD","","","","","Iberia","","Basic","","","","","","","","","moyen","high","2.8378690362562493e+17"
"","","","","","","08:41","16:30","469.0","252.0","True","BOD","MAD","","","","","Iberia","","","","","","","","","","","long","high","3.8781345752585697e+18"
"","","","","","","17:50","22:55","305.0","255.0","True","BOD","MAD","","","","","easyJet","Iberia Express","","","","","","","","","","moyen","high","1.3407008786404042e+18"
"","","","","","","12:10","18:55","405.0","260.0","True","BOD","MAD","","","","","Iberia","","","","","","","","","","","long","high","3.4396553891874806e+18"
"","","","","","","11:10","16:15","305.0","269.0","True","BOD","MAD","","","","","easyJet","Iberia","","","","","","","","","","moyen","high","6.522802523418592e+17"
"","","","","","","07:45","09:15","90.0","70.0","True","BOD","MAD","","","","","Volotea","","Économique","","","","","","","","","court","cheap","3.214897678846885e+18"
"","","","","","","11:58","21:05","547.0","137.0","False","BOD","MAD","","","","","Volotea","","Économique","","","","","","","","","long","standard","5.067442609056577e+18"
"","","","","","","16:00","22:25","385.0","161.0","False","BOD","MAD","","","","","Volotea","","","","","","","","","","","long","high","1.6174113970384225e+18"
"","","","","","","08:40","13:30","290.0","192.0","False","BOD","MAD","","","","","easyJet","Volotea","","","","","","","","","","moyen","high","7.260872549156819e+18"
"","","","","","","10:40","17:10","390.0","200.0","False","BOD","MAD","","","VCE","50.0","Volotea","Air Europa","Économique","","","","","340.0","","","","long","high","9.416774688959852e+17"
"","","","","","","13:55","18:15","260.0","212.0","False","BOD","MAD","","","VCE","50.0","Volotea","Air Europa","","","","","","210.0","","","","moyen","high","8.988011234059222e+18"
"","","","","","","09:25","14:40","315.0","213.0","False","BOD","MAD","","","","","easyJet","Iberia","","","","","","","","","","moyen","high","5.445678246956125e+18"
"","","","","","","15:15","21:40","385.0","222.0","False","BOD","MAD","","","VCE","50.0","Volotea","Air Europa","","","","","","335.0","","","","long","high","3.5199198945028413e+18"
"","","","","","","13:55","19:25","330.0","227.0","False","BOD","MAD","","","","","Vueling","","","","","","","","","","","moyen","high","8.966668759960673e+18"
"","","","","","","18:50","23:00","250.0","128.0","False","BOD","MAD","","","","","Iberia","","","","","","","","","","","moyen","standard","9.065941181470646e+18"
"","","","","","","16:55","23:00","365.0","133.0","False","BOD","MAD","","","","","easyJet","Iberia","","","","","","","","","","long","standard","4.407535428877607e+18"
"","","","","","","11:58","19:35","457.0","150.0","False","BOD","MAD","","","","","Vueling","","Économique","","","","","","","","","long","high","1.1963481649121823e+18"
"","","","","","","08:55","14:35","340.0","165.0","False","BOD","MAD","","","","","easyJet","Iberia","","","","","","","","","","moyen","high","5.39555369299613e+17"
"","","","","","","14:35","18:55","260.0","171.0","False","BOD","MAD","","","","","Volotea","Iberia","","","","","","","","","","moyen","high","6.323230667666853e+18"
"","","","","","","12:35","14:05","90.0","39.0","True","BOD","MAD","","","","","Volotea","","","","","","","","","","","court","cheap","3.60829686440188e+18"
"","","","","","","09:35","16:15","400.0","143.0","True","BOD","MAD","","","","","Volotea","","","","","","","","","","","long","high","3.981357530108331e+18"
"","","","","","","16:40","22:55","375.0","144.0","True","BOD","MAD","","","","","Volotea","Iberia","","","","","","","","","","long","high","1.1046918093268732e+18"
