"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:30","12:20+1","890","367.0","False","BOD","TRF","","","","","easyJet","Wideroe","","","","2024-11-21 21:30:00","2024-11-22 12:20:00","","0","Thursday","evening","long","high","7614887499883696236"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:50","14:40+1","1010","375.0","False","BOD","TRF","","","","","easyJet","Wizz Air","","","","2024-11-21 21:50:00","2024-11-22 14:40:00","","0","Thursday","evening","long","high","5166427923453465257"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","22:40","12:05+1","805","449.0","False","BOD","OSL","","","GVA","460.0","easyJet","","Standard","","","2024-11-21 22:40:00","2024-11-22 12:05:00","345.0","0","Thursday","night","long","high","1844633473369420850"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","18:00","08:35+1","875","592.0","False","BOD","OSL","","","GVA","460.0","easyJet","","","","","2024-11-21 18:00:00","2024-11-22 08:35:00","415.0","0","Thursday","evening","long","high","4334274525412015234"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","18:30","08:50+1","860","612.0","False","BOD","OSL","","","GVA","460.0","easyJet","","","","","2024-11-21 18:30:00","2024-11-22 08:50:00","400.0","0","Thursday","evening","long","high","8553533245865188220"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","18:30","11:00+1","990","616.0","False","BOD","OSL","","","","","Lufthansa","","","","","2024-11-21 18:30:00","2024-11-22 11:00:00","","0","Thursday","evening","long","high","4063553486693678242"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","09:45","08:00+1","1335","167.0","False","BOD","TRF","","","BCN","565.0","Vueling","Wizz Air","Économique","","","2024-11-22 09:45:00","2024-11-23 08:00:00","770.0","1","Friday","morning","long","cheap","5559912643855995927"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","19:45","12:55+1","1030","191.0","False","BOD","TRF","","","BCN","565.0","Vueling","Wizz Air","Économique","","","2024-11-22 19:45:00","2024-11-23 12:55:00","465.0","1","Friday","evening","long","cheap","6608760061154127301"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","10:50","23:55","785","232.0","False","BOD","OSL","","","BCN","565.0","Vueling","Wizz Air","","","","2024-11-22 10:50:00","2024-11-22 23:55:00","220.0","1","Friday","morning","long","standard","2354524364107952657"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","21:35","12:10+1","875","235.0","False","BOD","OSL","","","","","easyJet","Norwegian","","","","2024-11-22 21:35:00","2024-11-23 12:10:00","","1","Friday","evening","long","standard","282576497540825149"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","16:45","08:35+1","950","253.0","False","BOD","TRF","","","BCN","565.0","Vueling","Wizz Air","","","","2024-11-22 16:45:00","2024-11-23 08:35:00","385.0","1","Friday","afternoon","long","high","5857607427009682829"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","07:00","23:35","995","268.0","False","BOD","OSL","","","MXP","75.0","easyJet","Wizz Air","Standard","","","2024-11-22 07:00:00","2024-11-22 23:35:00","920.0","1","Friday","morning","long","high","2522762155228046152"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","06:10","20:45","875","284.0","False","BOD","OSL","","","","","easyJet","","","","","2024-11-22 06:10:00","2024-11-22 20:45:00","","1","Friday","morning","long","high","4088252051749691294"
"2024-11-21","2024-11-22","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-22?sort=price_a","19:45","09:25+1","820","293.0","False","BOD","OSL","","","","","easyJet","Wizz Air","","","","2024-11-22 19:45:00","2024-11-23 09:25:00","","1","Friday","evening","long","high","5251713035242533047"
"2024-11-21","2024-11-23","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-23?sort=price_a","17:55","09:35+1","940","194.0","False","BOD","OSL","","","BCN","430.0","Vueling","Ryanair UK","","","","2024-11-23 17:55:00","2024-11-24 09:35:00","510.0","2","Saturday","evening","long","cheap","5769254622737463254"
"2024-11-21","2024-11-23","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-23?sort=price_a","21:45","15:50+1","1085","223.0","False","BOD","OSL","","","","","Vueling","","","","","2024-11-23 21:45:00","2024-11-24 15:50:00","","2","Saturday","evening","long","standard","2410575816942150600"
