"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-21?sort=price_a","14:55","16:30","95","170.0","True","BOD","ZRH","","","","","SWISS","","Economy Light","","","2024-11-21 14:55:00","2024-11-21 16:30:00","","0","Thursday","afternoon","court","cheap","3354222638558056744"
"2024-11-21","2024-11-21","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-21?sort=price_a","18:35","22:30","235","181.0","False","BOD","ZRH","","","","","SWISS","","Economy Light","","","2024-11-21 18:35:00","2024-11-21 22:30:00","","0","Thursday","evening","moyen","cheap","1703371345628422942"
"2024-11-21","2024-11-21","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-21?sort=price_a","18:00","22:30","270","204.0","False","BOD","ZRH","","","","","SWISS","","Economy Light","","","2024-11-21 18:00:00","2024-11-21 22:30:00","","0","Thursday","evening","moyen","standard","4526027238657685002"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","07:00","19:45","765","195.0","False","BOD","ZRH","","","NCE","385.0","easyJet","Scandinavian Airlines","Standard","","","2024-11-22 07:00:00","2024-11-22 19:45:00","380.0","1","Friday","morning","long","standard","8134694735920172795"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","08:30","14:10","340","200.0","False","BOD","ZRH","","","NCE","385.0","easyJet","Scandinavian Airlines","Standard","","","2024-11-22 08:30:00","2024-11-22 14:10:00","","1","Friday","morning","moyen","standard","840547829569764269"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","09:45","20:40","655","208.0","False","BOD","ZRH","","","NCE","385.0","easyJet","Scandinavian Airlines","Standard","","","2024-11-22 09:45:00","2024-11-22 20:40:00","270.0","1","Friday","morning","long","standard","1612982992359850017"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","10:50","16:25","335","229.0","False","BOD","ZRH","","","","","easyJet","SWISS","","","","2024-11-22 10:50:00","2024-11-22 16:25:00","","1","Friday","morning","moyen","standard","8063750041668235011"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","09:05","18:55","590","230.0","False","BOD","ZRH","","","NCE","385.0","easyJet","Scandinavian Airlines","","","","2024-11-22 09:05:00","2024-11-22 18:55:00","205.0","1","Friday","morning","long","standard","1011947251644039547"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","19:45","07:40+1","715","232.0","False","BOD","ZRH","","","","","easyJet","Ethiopian Air","","","","2024-11-22 19:45:00","2024-11-23 07:40:00","","1","Friday","evening","long","standard","8108753932352764158"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","08:30","18:55","625","233.0","False","BOD","ZRH","","","","","Volotea","Iberia","","","","2024-11-22 08:30:00","2024-11-22 18:55:00","","1","Friday","morning","long","standard","6057456764895596244"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","07:45","16:26","521","234.0","True","BOD","ZRH","","","","","Volotea","Iberia","Économique","","","2024-11-22 07:45:00","2024-11-22 16:26:00","","1","Friday","morning","long","standard","3679263985455551480"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","10:50","21:35","645","253.0","False","BOD","ZRH","","","MAD","105.0","Volotea","Iberia","Économique","","","2024-11-22 10:50:00","2024-11-22 21:35:00","540.0","1","Friday","morning","long","standard","4435276156999711550"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","09:45","22:30","765","261.0","False","BOD","ZRH","","","MAD","105.0","Volotea","Iberia","","","","2024-11-22 09:45:00","2024-11-22 22:30:00","660.0","1","Friday","morning","long","standard","6001924043033576966"
